EdgeType,FromMapID,FromX,FromY,ToMapID,ToX,ToY,FromMapName,ToMapName
Item,-1,-1,-1,1,4882,6388,,Phụng Minh Trấn
Item,-1,-1,-1,2,8260,6340,,Đại Lý
Item,-1,-1,-1,3,10460,7570,,Lạc Dương
Item,-1,-1,-1,3,7570,6090,,Lạc Dương
Item,-1,-1,-1,3,6930,5380,,Lạc Dương
Item,-1,-1,-1,4,10600,8780,,Tô Châu
Item,-1,-1,-1,4,6160,8100,,Tô Châu
Item,-1,-1,-1,5,9260,5910,,Lâu Lan
Item,-1,-1,-1,6,2970,2140,,Thiếu Lâm Tự
Item,-1,-1,-1,7,2840,2300,,Cái Bang Tổng Đà
Item,-1,-1,-1,8,3120,820,,Quang Minh Điện
Item,-1,-1,-1,9,2860,1660,,Nga My Sơn
Item,-1,-1,-1,10,3000,2110,,Thiên Long Tự
Item,-1,-1,-1,11,2050,1510,,Lăng Ba Động 
Item,-1,-1,-1,12,3000,1340,,Tinh Túc Hải
Item,-1,-1,-1,13,3050,2310,,Thiên Sơn
Item,-1,-1,-1,14,3255,2725,,Núi Võ Đang
Item,-1,-1,-1,15,920,1650,,Mộ Dung
Item,-1,-1,-1,16,3100,1100,,Quỷ Cốc
Item,-1,-1,-1,17,4000,3800,,Đường Môn
Item,-1,-1,-1,18,8400,5000,,Đào Hoa
Item,-1,-1,-1,137,4317,2128,,Mạn Đà Sơn Trang
Item,-1,-1,-1,143,8180,8060,,Tuyệt Tình Cốc
