EdgeType,FromMapID,FromX,FromY,ToMapID,ToX,ToY,FromMapName,ToMapName
Portal,25,1122,3986,137,4442,2069,Thái Hồ,Mạn Đà Sơn Trang
Portal,137,4598,1952,25,1352,4014,Mạn Đà Sơn Trang,Thái Hồ
Portal,2,1070,5470,21,1400,1320,Đại Lý,Kiếm Các
Portal,2,9470,5480,19,1600,4800,Đại Lý,Vô Lượng Sơn
Portal,2,5120,890,20,9000,9050,Đại Lý,Nhĩ Hải
Portal,3,14000,7920,24,8510,1570,Lạc Dương,Nhạn Nam
Portal,3,2760,8180,22,8680,5510,Lạc Dương,Đôn Hoàng
Portal,3,8190,1400,23,1360,8470,Lạc Dương,Tung Sơn
Portal,4,2220,7690,30,9000,8790,Tô Châu,Kính Hồ
Portal,4,8900,14900,25,6890,1550,Tô Châu,Thái Hồ
Portal,4,8920,3000,26,1570,8450,Tô Châu,Tây Hồ
Portal,5,9550,5660,68,947,7010,Lâu Lan,Cao Xương
Portal,5,760,5660,71,6220,1000,Lâu Lan,Đại Uyển
Portal,5,5140,430,73,1000,7080,Lâu Lan,Tháp Lý Mộc
Portal,6,3070,730,23,8620,5920,Thiếu Lâm Tự,Tung Sơn
Portal,7,2950,520,25,9000,8650,Cái Bang Tổng Đà,Thái Hồ
Portal,8,3120,530,25,9120,2900,Quang Minh Điện,Thái Hồ
Portal,9,2860,1380,21,9100,4850,Nga My Sơn,Kiếm Các
Portal,10,3070,1435,19,2700,1810,Thiên Long Tự,Vô Lượng Sơn
Portal,11,1040,1950,19,3720,8900,Lăng Ba Động ,Vô Lượng Sơn
Portal,12,3050,1190,22,1420,1360,Tinh Túc Hải,Đôn Hoàng
Portal,13,3040,1070,22,2000,8880,Thiên Sơn,Đôn Hoàng
Portal,14,3030,975,30,1030,2700,Núi Võ Đang,Kính Hồ
Portal,15,5180,600,30,2300,5680,Mộ Dung,Kính Hồ
Portal,19,1370,4720,2,9400,5400,Vô Lượng Sơn,Đại Lý
Portal,19,2700,1555,10,3070,1630,Vô Lượng Sơn,Thiên Long Tự
Portal,19,3720,9180,11,1340,1950,Vô Lượng Sơn,Lăng Ba Động 
Portal,19,9090,7730,30,1080,770,Vô Lượng Sơn,Kính Hồ
Portal,20,9300,9250,2,5110,1060,Nhĩ Hải,Đại Lý
Portal,20,1180,5200,57,8700,8500,Nhĩ Hải,Thương Sơn
Portal,20,1070,1300,60,8400,6150,Nhĩ Hải,Thạch Lâm
Portal,20,9090,7410,56,1180,630,Nhĩ Hải,Ôn Tuyền Động
Portal,21,1200,1220,2,1370,5400,Kiếm Các,Đại Lý
Portal,21,9150,4460,9,2860,1580,Kiếm Các,Nga My Sơn
