ID,Name,DungeonMapID,Timeout,MinPlayers,MinLevel,GatherMapID,GatherNPCID,GatherX,GatherY,RequestActiveCardMonth
ThuyLao,Thủy Lao,92,1800,1,30,4,650,10990,6466,false
Q1_ToChau,Biên Giới Tống Liêu,93,1800,1,30,4,674,4400,8090,false
Q2_ToChau,Trúc Lâm,94,1800,1,30,4,707,11300,9890,false
Q3_ToChau,Dã Ngoại Trại Phỉ,95,1800,1,30,4,674,4500,8190,false
DanhCo1,Trân Long Kỳ Cuộc (thường),77,1800,1,30,4,717,8600,8600,true
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,1800,1,30,4,717,8600,8600,true
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,1800,1,30,4,717,8600,8600,true
LauLanTamBao_1,Lâu Lan Tầm Bảo (thường),101,1800,1,30,5,384,5200,7700,true
LauLanTamBao_2,Lâu Lan Tầm Bảo (nhanh),101,1800,1,30,5,384,5200,7700,true
LauLanTamBao_3,Lâu Lan Tầm Bảo (siêu tốc),101,1800,1,30,5,384,5200,7700,true
TucCau_1,Túc Cầu (thường),103,1800,1,30,4,718,9300,9170,true
TucCau_2,Túc Cầu (nhanh),103,1800,1,30,4,718,9300,9170,true
TucCau_3,Túc Cầu (siêu tốc),103,1800,1,30,4,718,9300,9170,true
Q1_LauLan,Hoàng Kim Chi Liên,108,1800,1,30,5,385,9400,8000,true
Q2_LauLan,Huyền Phật Châu,109,1800,1,30,5,385,9400,8000,true
Q3_LauLan,Dung Nham Chi Địa,110,1800,1,30,5,386,4000,8500,true
SatTinh,Thập Nhị Sát Tinh,111,1800,1,30,2,41,4170,7840,true
PMVL,Yến Tử Ô,105,1800,1,30,25,721,2200,6400,truetrue
PhiKH,Diệt Phỉ Kính Hồ,107,1800,1,30,30,301,6400,8430,true
