KeyCode,Display,Color,AnchorMin,AnchorMax,Pivot,Position,DragRootPosition,EventType,StickedUI,Visible
F1,F1,#525252,"1,0","1,0","1,0","-125,190","0,0",Click,SkillBar,true
F2,F2,#525252,"1,0","1,0","1,0","-305,130","0,0",Click,SkillBar,true
F3,F3,#525252,"1,0","1,0","1,0","-305,270","0,0",Click,SkillBar,true
F4,F4,#525252,"1,0","1,0","1,0","-185,355","0,0",Click,SkillBar,true
F5,F5,#525252,"1,0","1,0","1,0","-45,355","0,0",Click,SkillBar,true
F6,F6,#525252,"1,0","1,0","1,0","-455,130","0,0",Click,SkillBar,true
F7,F7,#525252,"1,0","1,0","1,0","-455,270","0,0",Click,SkillBar,true
F8,F8,#525252,"1,0","1,0","1,0","-345,425","0,0",Click,SkillBar,true
F9,F9,#525252,"1,0","1,0","1,0","-185,495","0,0",Click,SkillBar,true
F10,F10,#525252,"1,0","1,0","1,0","-45,495","0,0",Click,SkillBar,true
W,W,#525252,"0,0","0,0","0,0","205,320","205,205",Drag,MainUI_JoyStick,true
E,E,#525252,"0,0","0,0","0,0","286,286","205,205",Drag,MainUI_JoyStick,true
D,D,#525252,"0,0","0,0","0,0","320,205","205,205",Drag,MainUI_JoyStick,true
X,X,#525252,"0,0","0,0","0,0","286,123","205,205",Drag,MainUI_JoyStick,true
S,S,#525252,"0,0","0,0","0,0","205,90","205,205",Drag,MainUI_JoyStick,true
Z,Z,#525252,"0,0","0,0","0,0","123,123","205,205",Drag,MainUI_JoyStick,true
A,A,#525252,"0,0","0,0","0,0","90,205","205,205",Drag,MainUI_JoyStick,true
Q,Q,#525252,"0,0","0,0","0,0","123,286","205,205",Drag,MainUI_JoyStick,true
Alpha1,1,#525252,"1,1","1,1","1,1","-200,-320","0,0",Click,QuickItemsBar,true
Alpha2,2,#525252,"1,1","1,1","1,1","-110,-320","0,0",Click,QuickItemsBar,true
Alpha3,3,#525252,"1,1","1,1","1,1","-20,-320","0,0",Click,QuickItemsBar,true
Tab,Tab,#FFFFFF,"0,0","0,0","0,0","0,0","0,0",ChangeTarget,,false
