EdgeType,FromMapID,FromX,FromY,ToMapID,ToX,ToY,FromMapName,ToMapName
NPC,14,3255,2825,8,3120,820,Núi Võ Đang,Quang Minh Điện
NPC,14,3255,2825,9,2860,1660,Núi Võ Đang,Nga My Sơn
NPC,14,3255,2825,10,3000,2110,Núi Võ Đang,Thiên Long Tự
NPC,14,3255,2825,11,2050,1510,Núi Võ Đang,Lăng Ba Động 
NPC,14,3255,2825,12,3000,1340,Núi Võ Đang,Tinh Túc Hải
NPC,14,3255,2825,13,3050,2310,Núi Võ Đang,Thiên Sơn
NPC,14,3255,2825,15,920,1650,Núi Võ Đang,Mộ Dung
NPC,14,3255,2825,16,3100,1100,Núi Võ Đang,Quỷ Cốc
NPC,14,3255,2825,17,4000,3800,Núi Võ Đang,Đường Môn
NPC,14,3255,2825,18,8400,5000,Núi Võ Đang,Đào Hoa
NPC,14,3255,2825,137,4317,2128,Núi Võ Đang,Mạn Đà Sơn Trang
NPC,14,3255,2825,143,8180,8060,Núi Võ Đang,Tuyệt Tình Cốc
NPC,15,920,1750,1,4882,6388,Mộ Dung,Phụng Minh Trấn
NPC,15,920,1750,2,8260,6340,Mộ Dung,Đại Lý
NPC,15,920,1750,3,10460,7570,Mộ Dung,Lạc Dương
NPC,15,920,1750,3,7570,6090,Mộ Dung,Lạc Dương
NPC,15,920,1750,3,6930,5380,Mộ Dung,Lạc Dương
NPC,15,920,1750,4,10600,8780,Mộ Dung,Tô Châu
NPC,15,920,1750,4,6160,8100,Mộ Dung,Tô Châu
NPC,15,920,1750,5,9260,5910,Mộ Dung,Lâu Lan
NPC,15,920,1750,6,2970,2140,Mộ Dung,Thiếu Lâm Tự
NPC,15,920,1750,7,2840,2300,Mộ Dung,Cái Bang Tổng Đà
NPC,15,920,1750,8,3120,820,Mộ Dung,Quang Minh Điện
NPC,15,920,1750,9,2860,1660,Mộ Dung,Nga My Sơn
NPC,15,920,1750,10,3000,2110,Mộ Dung,Thiên Long Tự
NPC,15,920,1750,11,2050,1510,Mộ Dung,Lăng Ba Động 
NPC,15,920,1750,12,3000,1340,Mộ Dung,Tinh Túc Hải
NPC,15,920,1750,13,3050,2310,Mộ Dung,Thiên Sơn
NPC,15,920,1750,14,3255,2725,Mộ Dung,Núi Võ Đang
NPC,15,920,1750,16,3100,1100,Mộ Dung,Quỷ Cốc
NPC,15,920,1750,17,4000,3800,Mộ Dung,Đường Môn
NPC,15,920,1750,18,8400,5000,Mộ Dung,Đào Hoa
NPC,15,920,1750,137,4317,2128,Mộ Dung,Mạn Đà Sơn Trang
NPC,15,920,1750,143,8180,8060,Mộ Dung,Tuyệt Tình Cốc
NPC,16,3100,1200,1,4882,6388,Quỷ Cốc,Phụng Minh Trấn
NPC,16,3100,1200,2,8260,6340,Quỷ Cốc,Đại Lý
NPC,16,3100,1200,3,10460,7570,Quỷ Cốc,Lạc Dương
NPC,16,3100,1200,3,7570,6090,Quỷ Cốc,Lạc Dương
NPC,16,3100,1200,3,6930,5380,Quỷ Cốc,Lạc Dương
NPC,16,3100,1200,4,10600,8780,Quỷ Cốc,Tô Châu
NPC,16,3100,1200,4,6160,8100,Quỷ Cốc,Tô Châu
NPC,16,3100,1200,5,9260,5910,Quỷ Cốc,Lâu Lan
NPC,16,3100,1200,6,2970,2140,Quỷ Cốc,Thiếu Lâm Tự
NPC,16,3100,1200,7,2840,2300,Quỷ Cốc,Cái Bang Tổng Đà
NPC,16,3100,1200,8,3120,820,Quỷ Cốc,Quang Minh Điện
NPC,16,3100,1200,9,2860,1660,Quỷ Cốc,Nga My Sơn
NPC,16,3100,1200,10,3000,2110,Quỷ Cốc,Thiên Long Tự
NPC,16,3100,1200,11,2050,1510,Quỷ Cốc,Lăng Ba Động 
NPC,16,3100,1200,12,3000,1340,Quỷ Cốc,Tinh Túc Hải
NPC,16,3100,1200,13,3050,2310,Quỷ Cốc,Thiên Sơn
NPC,16,3100,1200,14,3255,2725,Quỷ Cốc,Núi Võ Đang
NPC,16,3100,1200,15,920,1650,Quỷ Cốc,Mộ Dung
NPC,16,3100,1200,17,4000,3800,Quỷ Cốc,Đường Môn
NPC,16,3100,1200,18,8400,5000,Quỷ Cốc,Đào Hoa
NPC,16,3100,1200,137,4317,2128,Quỷ Cốc,Mạn Đà Sơn Trang
NPC,16,3100,1200,143,8180,8060,Quỷ Cốc,Tuyệt Tình Cốc
NPC,17,4030,4000,1,4882,6388,Đường Môn,Phụng Minh Trấn
NPC,17,4030,4000,2,8260,6340,Đường Môn,Đại Lý
NPC,17,4030,4000,3,10460,7570,Đường Môn,Lạc Dương
NPC,17,4030,4000,3,7570,6090,Đường Môn,Lạc Dương
NPC,17,4030,4000,3,6930,5380,Đường Môn,Lạc Dương
NPC,17,4030,4000,4,10600,8780,Đường Môn,Tô Châu
NPC,17,4030,4000,4,6160,8100,Đường Môn,Tô Châu
NPC,17,4030,4000,5,9260,5910,Đường Môn,Lâu Lan
NPC,17,4030,4000,6,2970,2140,Đường Môn,Thiếu Lâm Tự
NPC,17,4030,4000,7,2840,2300,Đường Môn,Cái Bang Tổng Đà
NPC,17,4030,4000,8,3120,820,Đường Môn,Quang Minh Điện
NPC,17,4030,4000,9,2860,1660,Đường Môn,Nga My Sơn
NPC,17,4030,4000,10,3000,2110,Đường Môn,Thiên Long Tự
NPC,17,4030,4000,11,2050,1510,Đường Môn,Lăng Ba Động 
NPC,17,4030,4000,12,3000,1340,Đường Môn,Tinh Túc Hải
NPC,17,4030,4000,13,3050,2310,Đường Môn,Thiên Sơn
NPC,17,4030,4000,14,3255,2725,Đường Môn,Núi Võ Đang
NPC,17,4030,4000,15,920,1650,Đường Môn,Mộ Dung
NPC,17,4030,4000,16,3100,1100,Đường Môn,Quỷ Cốc
NPC,17,4030,4000,18,8400,5000,Đường Môn,Đào Hoa
NPC,17,4030,4000,137,4317,2128,Đường Môn,Mạn Đà Sơn Trang
NPC,17,4030,4000,143,8180,8060,Đường Môn,Tuyệt Tình Cốc
NPC,18,8050,4400,1,4882,6388,Đào Hoa,Phụng Minh Trấn
