RowIndex,Tag,ID,AssetBundle,Atlas,Sprite,Level,Cost,Visible,AnimationDuration,Text,ChildrenJSON
1,Icon,1,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm1,1,5000000,true,,,
2,Icon,2,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm2,1,5000000,true,,,
3,Icon,3,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm3,1,5000000,true,,,
4,Icon,4,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm4,1,5000000,true,,,
5,Icon,5,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm5,1,5000000,true,,,
6,Icon,6,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm6,1,5000000,true,,,
7,Icon,7,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm7,1,5000000,true,,,
8,Icon,8,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm8,1,5000000,true,,,
9,Icon,9,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm9,1,5000000,true,,,
10,Icon,10,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm10,1,5000000,true,,,
11,Icon,11,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm11,1,5000000,true,,,
12,Icon,12,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm12,1,5000000,true,,,
13,Icon,13,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm13,1,5000000,true,,,
14,Icon,14,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm14,1,5000000,true,,,
15,Icon,15,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm15,1,5000000,true,,,
16,Icon,16,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm16,1,5000000,true,,,
17,Icon,17,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm17,1,5000000,true,,,
