RowIndex,Tag,ID,Name,Description,Bundle,Atlas,Scale,Duration,ExpireHours,Text,ChildrenJSON
1,AnimatedTitle,1,Đại Phú Hào,"Danh hiệu cao quý, tiền tài như nước.",SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_0""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DaiPhuHao_9""}}]"
2,AnimatedTitle,2,Vô Song Vương Giả,"Danh hiệu đặc biệt, phú ông vương giả.",SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00000""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00002""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00004""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00006""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00008""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00010""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00012""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00014""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00016""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VoSongVuongGia_00018""}}]"
3,AnimatedTitle,3,Chí Tôn Thần Long,"Danh hiệu đặc biệt, Chí Tôn.",SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_13""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_14""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ChiTonThanLong_15""}}]"
4,AnimatedTitle,4,Mình Ông Chấp Hết,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,1000,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MinhOngChapHet_13""}}]"
5,AnimatedTitle,5,Thích Thần Phụng Long,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,1000,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThichThanPhungLong_13""}}]"
6,AnimatedTitle,6,Không Thích Từ Bi,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_24""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_14""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_16""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_18""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_20""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_22""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""KhongMuonTuBi_0""}}]"
7,AnimatedTitle,7,Quý Quân,Danh hiệu PK Tháng 6.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÝ_QUÂN""}}]"
8,AnimatedTitle,8,Á QUÂN,Danh hiệu PK Tháng 6.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Á_QUÂN""}}]"
9,AnimatedTitle,9,QUÁN QUÂN,Danh hiệu PK Tháng 6.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""QUÁN_QUÂN_13""}}]"
10,AnimatedTitle,10,Thánh Long Độc Tôn,Danh hiệu đặc biệt,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongDocTon_13""}}]"
