RowIndex,Tag,ID,MapID,Name,FromMapID,FromPosX,FromPosY,ToMapID,ToPosX,ToPosY,Text,ChildrenJSON
1,NPCData,1,50,Diêu Phu,,,,,,,,
2,NPCData,2,50,Hồ Đức Hải,,,,,,,,
3,NPCData,3,50,Tôn Đức Long,,,,,,,,
4,NPCData,4,33,Yến Biệt Thu,,,,,,,,
5,NPCData,5,47,Đỗ Bất Đằng,,,,,,,,
6,NPCData,6,47,Chu Du,,,,,,,,
7,NPCData,7,47,Ninh Linh Ca,,,,,,,,
8,NPCData,8,47,Bác Lạp,,,,,,,,
9,NPCData,9,47,Đậu Đậu,,,,,,,,
10,NPCData,10,47,Viên Bình,,,,,,,,
11,NPCData,11,57,Tát Mã,,,,,,,,
12,NPCData,12,57,Tát Tang,,,,,,,,
13,NPCData,13,57,Tát Tuyết,,,,,,,,
14,NPCData,14,57,Tát Đô,,,,,,,,
15,NPCData,15,57,Tát Lỗ,,,,,,,,
16,NPCData,16,43,Nguyễn Lão Thái Thái,,,,,,,,
17,NPCData,17,43,Nguyễn Thực,,,,,,,,
18,NPCData,18,43,Tiêu Tường,,,,,,,,
19,NPCData,19,43,Nguyễn Thành,,,,,,,,
20,NPCData,20,43,A Phi,,,,,,,,
21,NPCData,21,48,Tiêu Phương Chí,,,,,,,,
22,NPCData,22,48,Hoàn Nhan A Lý Bố,,,,,,,,
23,NPCData,23,48,Hoàn Nhan Đoan Khánh,,,,,,,,
24,NPCData,24,48,Hoàn Nhan Ngô Khất Mãi,,,,,,,,
25,NPCData,25,48,Hoàn Nhan A Cốt Đả,,,,,,,,
26,NPCData,26,48,Đồ Đan Phúc Tấn,,,,,,,,
27,NPCData,27,48,Hoàn Nhan Ngột Thuật,,,,,,,,
28,NPCData,28,48,Hoàn Nhan Niêm Một Khát,,,,,,,,
29,NPCData,29,48,Hoàn Nhan Ngoa Lý Đóa,,,,,,,,
30,NPCData,30,48,Hoàn Nhan Cát Ly Bất,,,,,,,,
31,NPCData,31,48,Hoàn Nhan Doanh Ca,,,,,,,,
32,NPCData,979,2,Vương Khuê Vân,,,,,,,,
33,NPCData,980,2,Sơn Phong,,,,,,,,
34,NPCData,861,2,Hoàng Thời Vũ,,,,,,,,
35,NPCData,862,2,Đường Dục,,,,,,,,
36,NPCData,863,2,Cảnh Ngôn,,,,,,,,
37,NPCData,864,2,Dương Tiệm,,,,,,,,
38,NPCData,32,2,Thiên Thiên và Long Long,,,,,,,,
39,NPCData,33,2,Hoàng Bảng,,,,,,,,
40,NPCData,34,2,Mễ Phất,,,,,,,,
41,NPCData,35,2,Vương Thiều,,,,,,,,
42,NPCData,36,2,A Tử,,,,,,,,
43,NPCData,37,2,Vân Trung Hạc,,,,,,,,
44,NPCData,38,2,Diệp Nhị Nương,,,,,,,,
45,NPCData,39,2,Chu Thương,,,,,,,,
46,NPCData,40,2,Nhuế Tư,,,,,,,,
47,NPCData,41,2,Khô Vinh Đại Sư,,,,,,,,
48,NPCData,42,2,Phá Trần,,,,,,,,
49,NPCData,43,2,Phá Phàm,,,,,,,,
50,NPCData,44,2,Lưu Trọng Phủ,,,,,,,,
51,NPCData,45,2,Xa Truyền Chí,,,,,,,,
52,NPCData,46,2,Thôi Bách Tuyền,,,,,,,,
53,NPCData,47,2,Hoa Cách Cấn,,,,,,,,
54,NPCData,48,2,Cao Thăng Thái,,,,,,,,
55,NPCData,49,2,Trử Vạn Lý,,,,,,,,
56,NPCData,50,2,Cổ Đốc Thành,,,,,,,,
57,NPCData,51,2,Phó Tư Quy,,,,,,,,
58,NPCData,52,2,Đao Bạch Phụng,,,,,,,,
59,NPCData,53,2,Quá Ngạn Chi,,,,,,,,
60,NPCData,54,2,Chu Đan Thần,,,,,,,,
61,NPCData,55,2,Công Tôn Đại Thúc,,,,,,,,
62,NPCData,56,2,Âu Dương Đại Thúc,,,,,,,,
63,NPCData,57,2,Cao Thăng Tường,,,,,,,,
64,NPCData,58,2,Vương Nhược Vũ,,,,,,,,
65,NPCData,59,2,Phó Kiếp Sinh,,,,,,,,
66,NPCData,60,2,Lỗ Minh Nguyệt,,,,,,,,
67,NPCData,61,2,Vô Nhai Tử,,,,,,,,
68,NPCData,62,2,Võ Đồng,,,,,,,,
69,NPCData,63,2,Trương Linh Quân,,,,,,,,
70,NPCData,64,2,Phụng Triều Dương,,,,,,,,
71,NPCData,65,2,Loan Bưu,,,,,,,,
72,NPCData,66,2,Loan Hổ,,,,,,,,
73,NPCData,67,2,Đạo Thảo Nhân,,,,,,,,
74,NPCData,68,2,Đạo Thảo Nhân,,,,,,,,
75,NPCData,69,2,Đạo Thảo Nhân,,,,,,,,
76,NPCData,70,2,Đạo Thảo Nhân,,,,,,,,
77,NPCData,71,2,Đạo Thảo Nhân,,,,,,,,
78,NPCData,72,2,Đạo Thảo Nhân,,,,,,,,
79,NPCData,73,2,Đạo Thảo Nhân,,,,,,,,
80,NPCData,74,2,Đạo Thảo Nhân,,,,,,,,
81,NPCData,75,2,Đạo Thảo Nhân,,,,,,,,
82,NPCData,76,2,Đạo Thảo Nhân,,,,,,,,
83,NPCData,77,2,Đạo Thảo Nhân,,,,,,,,
84,NPCData,78,2,Các La Lỗ,,,,,,,,
85,NPCData,79,2,Dương Thiên Lý,,,,,,,,
86,NPCData,80,2,Đàm Cảnh Thiên,,,,,,,,
87,NPCData,81,2,Tiểu Khất Cái,,,,,,,,
88,NPCData,82,2,Trung Vạn Thù,,,,,,,,
89,NPCData,83,2,Cam Bảo Bảo,,,,,,,,
90,NPCData,84,2,Đoàn Diên Khánh,,,,,,,,
91,NPCData,85,2,Các La Ngột,,,,,,,,
92,NPCData,86,2,Sơ Kích Bình,,,,,,,,
93,NPCData,87,2,Kim Ngũ Gia,,,,,,,,
94,NPCData,88,2,Lam Hỏa Kế,,,,,,,,
95,NPCData,89,2,Hắc Hỏa Kế,,,,,,,,
96,NPCData,90,2,Hà Sinh Kim,,,,,,,,
97,NPCData,91,2,Vương Dĩnh,,,,,,,,
98,NPCData,92,2,Bồ Lương,,,,,,,,
99,NPCData,93,2,Thẩm Quát,,,,,,,,
100,NPCData,94,2,Đồng Hóa Kim,,,,,,,,
101,NPCData,95,2,Qúa Tam Chùy,,,,,,,,
102,NPCData,96,2,Thiên Tiên,,,,,,,,
103,NPCData,97,2,Hoàng Công Đạo,,,,,,,,
104,NPCData,98,2,Hoàng Lăng Ba,,,,,,,,
105,NPCData,99,2,Tiểu Hoa,,,,,,,,
106,NPCData,100,2,Các La Thiện,,,,,,,,
107,NPCData,101,2,Dương Thập Lý,,,,,,,,
108,NPCData,102,2,Bạch Triển Nguyên,,,,,,,,
109,NPCData,103,2,Các La Ách,,,,,,,,
110,NPCData,104,2,Dương Bách Lý,,,,,,,,
111,NPCData,105,2,Đào Tiên Thu,,,,,,,,
112,NPCData,106,2,Hạ Thanh Thanh,,,,,,,,
113,NPCData,107,2,Thôi Phùng Cửu,,,,,,,,
114,NPCData,108,2,Danh Vọng Thần Tăng,,,,,,,,
115,NPCData,109,2,Hoàng Sinh,,,,,,,,
116,NPCData,110,2,Tảo Địa Thần Tăng,,,,,,,,
117,NPCData,111,2,Thiên Sơn Đồng Lão,,,,,,,,
118,NPCData,112,2,Triệu Thiên Sư,,,,,,,,
119,NPCData,113,2,Dung Nhi,,,,,,,,
120,NPCData,114,2,Đỗ Đại Sảng,,,,,,,,
121,NPCData,115,2,Mộ Dung Truyền,,,,,,,,
122,NPCData,116,2,Lộ Tam Nương,,,,,,,,
123,NPCData,117,2,Giản Ninh,,,,,,,,
124,NPCData,118,2,Tuệ Dịch,,,,,,,,
125,NPCData,119,2,Trương Hoạch,,,,,,,,
126,NPCData,120,2,Thạch Bảo,,,,,,,,
127,NPCData,121,2,Trình Thanh Sương,,,,,,,,
128,NPCData,122,2,Hải Phong Tử,,,,,,,,
129,NPCData,123,2,Phá Tham,,,,,,,,
130,NPCData,124,2,Đàm Đài Tử Vũ,,,,,,,,
131,NPCData,125,2,Củng Thái Vân,,,,,,,,
132,NPCData,126,2,Phạm Thuần Lễ,,,,,,,,
133,NPCData,127,2,Bạch Sùng Nghĩa,,,,,,,,
134,NPCData,128,2,Hồng Đại Qúy,,,,,,,,
135,NPCData,129,2,Lý Công Bộ,,,,,,,,
136,NPCData,130,2,Tôn Bát Gia,,,,,,,,
137,NPCData,131,2,Tiền Long,,,,,,,,
138,NPCData,132,2,Nhiếp Chính,,,,,,,,
139,NPCData,133,2,Niêm Hoa Tự Tăng Nhân,,,,,,,,
140,NPCData,134,2,Đỗ Tử Phi,,,,,,,,
141,NPCData,135,2,Đỗ Tử Đằng,,,,,,,,
142,NPCData,136,2,Mục Tử Lăng,,,,,,,,
143,NPCData,137,2,Mộc Uyển Thanh,,,,,,,,
144,NPCData,138,2,Lô Tam Thất,,,,,,,,
145,NPCData,139,2,Lưu Ký Nô,,,,,,,,
146,NPCData,140,2,Phó Đương Quy,,,,,,,,
147,NPCData,141,2,Vân Phiêu Phiêu,,,,,,,,
148,NPCData,142,2,Thân Tình,,,,,,,,
149,NPCData,143,2,Hoàng Mi Tăng,,,,,,,,
150,NPCData,144,2,Tiêu Lăng,,,,,,,,
151,NPCData,145,2,Đoàn Chính Minh,,,,,,,,
152,NPCData,146,2,Đoàn Chính Thuần,,,,,,,,
153,NPCData,147,2,Dư Trợ Chi,,,,,,,,
154,NPCData,148,2,Hàn Vĩnh An,,,,,,,,
155,NPCData,861,2,Hoàng Thời Vũ,,,,,,,,
156,NPCData,862,2,Đường Dục,,,,,,,,
157,NPCData,864,2,Dương Tiệm,,,,,,,,
158,NPCData,149,2,Trương Thế Bình,,,,,,,,
159,NPCData,150,71,Tô Mậu,,,,,,,,
160,NPCData,151,71,Trương Bằng Uy,,,,,,,,
161,NPCData,152,71,Lâm Tăng,,,,,,,,
162,NPCData,153,71,Lan Tác An,,,,,,,,
163,NPCData,154,22,Hắc Thi Thương Nhân,,,,,,,,
164,NPCData,155,22,Hồi Cốt Vương Nữ,,,,,,,,
165,NPCData,156,22,Trương Toàn Tường,,,,,,,,
166,NPCData,157,22,Dương Văn Quảng,,,,,,,,
167,NPCData,158,22,Đào Yêu Yêu,,,,,,,,
168,NPCData,159,22,Uông Diên,,,,,,,,
169,NPCData,160,22,Cưu Ma Trí,,,,,,,,
170,NPCData,161,22,Chu Vương Lễ,,,,,,,,
171,NPCData,162,22,Hạ Binh,,,,,,,,
172,NPCData,163,22,Hạ Binh,,,,,,,,
173,NPCData,164,22,Hề Tam Kỳ,,,,,,,,
174,NPCData,165,22,Triệu Hành Đức,,,,,,,,
175,NPCData,166,22,Ngọc Môn Quan Thủ Vệ,,,,,,,,
176,NPCData,167,22,Ngọc Môn Quan Thủ Vệ,,,,,,,,
177,NPCData,168,22,Tào Diên Huệ,,,,,,,,
178,NPCData,169,22,Tào Diên Thọ,,,,,,,,
179,NPCData,170,22,Ngọc Môn Quan Tống Binh,,,,,,,,
180,NPCData,171,22,Ngọc Môn Quan Tống Binh,,,,,,,,
181,NPCData,172,22,Ngọc Môn Quan Tống Binh,,,,,,,,
182,NPCData,173,22,Ngọc Môn Quan Tống Binh,,,,,,,,
183,NPCData,174,22,Chu Đức Hưng,,,,,,,,
