RowIndex,Tag,ID,GroupID,Name,ActivatePercent,SkillIDs,ActivateType,ActivateValue,Cooldown,Text,ChildrenJSON
1,Skill,1,1,Kiến Long Tại Điền,"{1,100}",34901,HitTarget,0,0,,
2,Skill,2,2,Cầm Long Thức,"{1,30}",35201,HitTarget,-1,0,,
3,Skill,3,3,Khống Hạc Thức,"{1,100}",35601,CritHitTarget,-1,0,,
4,Skill,4,4,Hoành Tảo Càn Khôn,"{1,100}",36501,EveryPeriod,1000,0,,
5,Skill,5,5,Khiêu Liêm Thức,"{1,5},{10,27}",38201,HitTarget,-1,0,,
6,Skill,6,6,Hồi Thiên Thuật,"{1,100}",41101,EveryPeriod,2000,0,,
7,Skill,7,7,Diệt Kiếm Thức,"{1,30}",41601,HitTarget,-1,0,,
8,Skill,8,8,Thủy Độn,"{1,100}",44601,HitTarget,0,0,,
9,Skill,9,9,Hàm Tiếu Bán Bộ Diên,"{1,100}",45401,EveryPeriod,3000,0,,
10,Skill,10,10,Nhất Nhật Táng Mệnh Tán,"{1,100}",45501,Die,-1,0,,
11,Skill,11,11,Phá Kiếm Thức,"{1,30}",47601,HitTarget,-1,0,,
12,Skill,12,12,Di Hoa Tiếp Mộc,"{1,100}",49801,HitTarget,-1,0,,
13,Skill,13,13,Đại Phong Ca,"{1,30}",53201,HitTarget,-1,0,,
14,Skill,14,14,Lạc Thần Đồ,"{1,100}",53601,HitTargetByTrap,-1,0,,
15,Skill,15,15,Bộ Bộ Sinh Hoa,"{1,100}",54501,EveryPeriod,1000,0,,
16,Skill,16,16,Súc Vân Dục Vũ,"{1,12},{10,32}",77201,BeHit,-1,0,,
17,Skill,17,17,Tâm Kiếm Giao Dung,"{1,12},{10,32}",77601;77602,HitTarget,-1,0,,
18,Skill,18,18,Phá Thiên Thức,"{1,100}",78401,EveryPeriod,1500,0,,
19,Skill,19,19,Hàm Sa Xạ Ảnh,"{1,100}",82001,HitTarget,-1,0,,
20,Skill,20,20,Thập Phương Câu Diệt,"{1,100}",82301,HitTarget,-1,0,,
21,Skill,21,21,Chiến Khả Đắc Uy,"{1,100}",91601,StayIdleForPeriod,3000,3000,,
22,Skill,22,22,Khổ Trú Đoạn,"{1,100}",92101,EveryPeriod,1000,0,,
23,Skill,23,23,Bách Xuyên Nhập Hải,"{1,100}",92301,CritHitTarget,-1,0,,
24,Skill,24,24,Bão Hương Chi Đầu,"{1,100}",94201,EveryPeriod,5000,0,,
