RowIndex,Tag,ID,Sex,Name,Model,Text,ChildrenJSON
1,Face,1,0,Mỹ Diễm Hình,NuZhuJiaoLian01,,
2,Face,2,0,Trí Tuệ Hình,NuZhuJiaoLian02,,
3,Face,3,0,Khai Lãng Hình,NuZhuJiaoLian03,,
4,Face,4,0,Cao Quý Hình,NuZhuJiaoLian04,,
5,Face,5,0,Thục Nữ Hình,NuZhuJiaoLian05,,
6,Face,6,0,Mị Hoặc Hình,NuZhuJiaoLian06,,
7,Face,7,0,Kiểm Phả Hình,NuZhuJiaoLian07,,
8,Face,8,0,Thương Tang Hình,NuZhuJiaoLian08,,
9,Face,9,0,Mông Lung Hình,NuZhuJiaoLian09,,
10,Face,10,0,Cuồng Dã Hình,NuZhuJiaoLian10,,
11,Face,11,0,Thị Ngạo Hình,NuZhuJiaoLian11,,
12,Face,12,0,Thâm Thuý Hình,NuZhuJiaoLian16,,
13,Face,13,0,Linh Mị Hình,NuZhuJiaoLian12,,
14,Face,14,0,Thanh Nhã Hình,NuZhuJiaoLian20,,
15,Face,15,0,Phong Trần Hình,NuZhuJiaoLian25,,
16,Face,16,0,Khuynh Vân Hình,NuZhuJiaoLian29,,
17,Face,17,0,Linh Động Hình,NuZhuJiaoLian30,,
18,Face,18,0,Văn Mi Hình,NuZhuJiaoLian32,,
19,Face,19,0,Phong Dật Hình,NuZhuJiaoLianGaoGui120312_1,,
20,Face,20,0,Yêu Mị Hình,NuZhuJiaoLian35,,
21,Face,21,0,Ức Ngân Hình,NuZhuJiaoLian40,,
22,Face,22,0,Mị Ảnh Hình,NuZhuJiaoLian43,,
23,Face,23,0,Mi Ảnh Hình,NuZhuJiaoLian44,,
24,Face,24,0,Bạch Mi Hình,NuZhuJiaoLian80,,
25,Face,25,0,Linh Mâu Hình,NuZhuJiaoLian81,,
26,Face,26,0,Nhã Thú Hình,NuZhuJiaoLian82,,
27,Face,27,0,Ngân Mâu Hình,NuZhuJiaoLian84,,
28,Face,28,0,Lẫm Nhân Hình,NuZhuJiaoLian86,,
29,Face,29,0,Gian Tình Hình,NuZhuJiaoLian89,,
30,Face,30,0,Lam Mâu Hình,NuZhuJiaoLian85,,
31,Face,31,0,Nhĩ Nhã Hình,NuZhuJiaoLian91,,
32,Face,32,0,Yêu Dã Hình,NuZhuJiaoLian92,,
33,Face,33,0,Nhã Vọng Hình,NuZhuJiaoLian93,,
34,Face,34,0,Nho Hiệp Hình,NuZhuJiaoLian95,,
35,Face,35,0,Trầm Úc Hình,NuZhuJiaoLian99,,
36,Face,36,0,Dật Trần Hình,NuZhuJiaoLian101,,
37,Face,37,0,Mê Mâu Hình,NuZhuJiaoLian102,,
38,Face,38,0,Tiên Phong Hình,NuZhuJiaoLianXianFeng,,
39,Face,39,0,Thiều Dung Hình,NuZhuJiaoLian100,,
40,Face,40,0,Điểm Tú Hình,NuZhuJiaoLian105,,
41,Face,41,0,Nhã Tụng Hình,NuZhuJiaoLian106,,
42,Face,42,0,Dị Nhan Hình,NuZhuJiaoLianBingXue,,
43,Face,43,0,Chiêu Hoa Hình,NuZhuJiaoLian107,,
44,Face,44,0,Khanh Uyển Hình,NuZhuJiaoLianQiXi,,
45,Face,45,0,My Nhan Hình,NuZhuJiaoLian108,,
46,Face,46,0,Hàm Chương Hình,NuZhuJiaoLianLongFeng,,
47,Face,47,0,Dao Quang Hình,NuZhuJiaoLianRuiHeB,,
48,Face,48,0,Minh Quang Hình,NuZhuJiaoLianRuiHeTuGaoJi,,
49,Face,49,0,Tư Phàm Hình,NuZhuJiaoLianHongNanLuNu,,
50,Face,50,0,Tư Tình Hình,NuZhuJiaoLianQiXiBaiTouCongZhuTu,,
51,Face,51,0,Thích Sở Hình,NuZhuJiaoLianXing191008ShenMiZhuTi,,
52,Face,52,0,Ôn Tuyết Hình,NuZhuJiaoLianXingRuiXueHongMei,,
53,Face,53,0,Tây Châu Hình,NuZhuJiaoLianXingLiShiShi,,
54,Face,54,0,Phi Thịnh Hình,NuZhuJiaoLianXingLiYuTaoZhuang,,
55,Face,55,0,Lạc Anh Hình,NuZhuJiaoLianXingChunJiZhuang,,
56,Face,56,0,Cách Hoa Hình,NuZhuJiaoLianXingHongSePiaoYi,,
57,Face,57,0,Cao Đường Hình,NuZhuJiaoLianXingEMeiGaoShou,,
58,Face,58,0,Dương Thanh Hình,NuZhuJiaoLianXingGaiBangGaoShou,,
59,Face,59,0,Khuynh Nguy Hình,NuZhuJiaoLianXingGuiGuGaoShou,,
60,Face,60,0,Hoàn Đao Hình,NuZhuJiaoLianXingMingJiaoGaoShou,,
61,Face,61,0,Cố Ảnh Hình,NuZhuJiaoLianXingMuRongGaoShou,,
62,Face,62,0,Dẫn Bàn Hình,NuZhuJiaoLianXingShaoLinGaoShou,,
63,Face,63,0,Cao Thu Hình,NuZhuJiaoLianXingTangMenGaoShou,,
64,Face,64,0,Thương Giang Hình,NuZhuJiaoLianXingTaoHuaDaoGaoShou,,
