RowIndex,Tag,ID,Name,Icon,Type,Text,ChildrenJSON
1,CharFashionOrnament,1,Phẩm Trúc Nhi Ca,TopDecorate1_1,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022xiongmao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,23.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022xiongmao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,23.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
2,CharFashionOrnament,2,Mạch Ẩn Thanh Tri,BackDecorate1_1,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022xiongmao"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""100,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022xiongmao"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
3,CharFashionOrnament,3,Lưu Kim Phi Vũ,TopDecorate1_2,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022jinwu"",""BoneName"":""m_Bip01_Head"",""Position"":""0,-3.5,30.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022jinwu"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-4.5,28"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
4,CharFashionOrnament,4,Kim Ô Diệu Thế,BackDecorate1_2,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022jinwu"",""BoneName"":""m_Bip01_Head"",""Position"":""0,30,-10"",""Rotation"":""80,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022jinwu"",""BoneName"":""w_Bip01_Head"",""Position"":""0,30,-10"",""Rotation"":""80,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
5,CharFashionOrnament,5,Lông Công,TopDecorate1_3,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022yangzongbao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,3,25"",""Rotation"":""75,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022muguiying"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,32"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
6,CharFashionOrnament,6,Hộ Bối Kỳ,BackDecorate1_3,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022yangzongbao"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,25,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022muguiying"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,17,10"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
7,CharFashionOrnament,7,Thanh Hoa Ánh Huy,TopDecorate1_4,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022yangzongbaozj"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,28"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022yangzongbaozj"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-0.4,25.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
8,CharFashionOrnament,8,Bát Thi Trục Nhật,BackDecorate1_4,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022muguiyingzj"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022muguiyingzj"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,10"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
9,CharFashionOrnament,9,Tai Thỏ Dễ Thương,TopDecorate1_5,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022cjtuer"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022cjtuer"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
10,CharFashionOrnament,10,Một Ngàn Lẻ Một Đêm,BackDecorate1_5,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022THmofashu"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,35,10"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022THmofashu"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,25,10"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
11,CharFashionOrnament,11,Phong Vũ Đồng Quy,TopDecorate1_6,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023jianghu01"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023jianghu01"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
12,CharFashionOrnament,12,Phong Vũ Đồng Quy-Liêu,TopDecorate1_7,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023jianghu"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023jianghu"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
13,CharFashionOrnament,13,Phong Vũ Đồng Quy-Khởi,TopDecorate1_8,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023jianghu02"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023jianghu02"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
14,CharFashionOrnament,14,Lưu Vân Mão,TopDecorate1_9,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022shatan"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,26"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022shatan"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,26"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
15,CharFashionOrnament,15,Tai Cáo Mềm Mại,TopDecorate1_10,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023huxianerduo"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023huxianerduo"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,26"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
16,CharFashionOrnament,16,Đan Phượng Triều Dương,BackDecorate1_6,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2023fengqiuhuang"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,20,10"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2023fengqiuhuang"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,20,0"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
