RowIndex,Tag,ID,Sex,Name,Model,LerpFactor,Text,ChildrenJSON
1,Hair,0,0,Lưu Vân Phát,NuZhuJiaoTouFa01,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
2,Hair,1,0,Du Tiên Phát,NuZhuJiaoTouFa02,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
3,Hair,2,0,Lưu Tư Phát,NuZhuJiaoTouFa03,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
4,Hair,3,0,Cảnh Dao Phát,NuZhuJiaoTouFa04,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
5,Hair,4,0,Điệp Vũ Phát,NuZhuJiaoTouFa05,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
6,Hair,5,1,Lưu Vân Phát,NanZhuJiaoTouFa01,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
7,Hair,6,1,Du Tiên Phát,NanZhuJiaoTouFa02,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
8,Hair,7,1,Lưu Tư Phát,NanZhuJiaoTouFa03,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
9,Hair,8,1,Cảnh Dao Phát,NanZhuJiaoTouFa04,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
10,Hair,9,1,Điệp Vũ Phát,NanZhuJiaoTouFa05,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
11,Hair,10,1,Trường Ức Phát,NanZhuJiaoTouFa06,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
12,Hair,11,1,Hoàn Hải Phát,NanZhuJiaoTouFa07,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
13,Hair,12,1,Tấn Hoa Phát,NanZhuJiaoTouFa08,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
14,Hair,13,1,Lạc Huyền Phát,NanZhuJiaoTouFa09,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
15,Hair,14,1,Bảo Cẩm Phát,NanZhuJiaoTouFa14,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
16,Hair,15,0,Trường Ức Phát,NuZhuJiaoTouFa06,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
17,Hair,16,0,Hoàn Hải Phát,NuZhuJiaoTouFa07,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
18,Hair,17,0,Tấn Hoa Phát,NuZhuJiaoTouFa08,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
19,Hair,18,0,Lạc Huyền Phát,NuZhuJiaoTouFa09,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
20,Hair,19,0,Bảo Cẩm Phát,NuZhuJiaoTouFa17,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
21,Hair,20,0,Diệu Phong Phát,NuZhuJiaoTouFa10,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
22,Hair,21,0,Huy Nguyệt Phát,NuZhuJiaoTouFa11,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
23,Hair,22,0,Thiên Kết Phát,NuZhuJiaoTouFa12,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
24,Hair,23,0,Phượng Kết Phát,NuZhuJiaoTouFa13,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
25,Hair,24,0,Nhập Vân Phát,NuZhuJiaoTouFa14,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
26,Hair,25,0,Vân Tấn Phát,NuZhuJiaoTouFa15,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
27,Hair,26,0,Đôi Tư Phát,NuZhuJiaoTouFa16,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
28,Hair,27,0,Hàng Vân Phát,NuZhuJiaoTouFa18,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
29,Hair,28,0,Thiền Dực Phát,NuZhuJiaoTouFa19,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
30,Hair,29,0,Phi Yên Phát,NuZhuJiaoTouFa20,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
31,Hair,30,1,Diệu Phong Phát,NanZhuJiaoTouFa10,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
32,Hair,31,1,Huy Nguyệt Phát,NanZhuJiaoTouFa11,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
33,Hair,32,1,Thiên Kết Phát,NanZhuJiaoTouFa12,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
34,Hair,33,1,Phượng Kết Phát,NanZhuJiaoTouFa13,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
35,Hair,34,1,Nhập Vân Phát,NanZhuJiaoTouFa15,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
36,Hair,35,1,Vân Tấn Phát,NanZhuJiaoTouFa16,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
37,Hair,36,1,Đôi Tư Phát,NanZhuJiaoTouFa17,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
38,Hair,37,1,Hàng Vân Phát,NanZhuJiaoTouFa18,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
39,Hair,38,1,Thiền Dực Phát,NanZhuJiaoTouFa19,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
40,Hair,39,1,Phi Yên Phát,NanZhuJiaoTouFa20,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
41,Hair,40,0,Lăng Vân Phát,NuZhuJiaoTouFa21,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
42,Hair,41,0,Dạ Hàng Phát,NuZhuJiaoTouFa22,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
43,Hair,42,0,Phiêu Tuyết Phát,NuZhuJiaoTouFa23,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
44,Hair,43,0,Vân Kết Phát,NuZhuJiaoTouFa24,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
45,Hair,44,1,Lăng Vân Phát,NanZhuJiaoTouFa21,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
46,Hair,45,1,Dạ Hàng Phát,NanZhuJiaoTouFa22,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
47,Hair,46,1,Phiêu Tuyết Phát,NanZhuJiaoTouFa23,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
48,Hair,47,1,Vân Kết Phát,NanZhuJiaoTouFa24,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
49,Hair,48,0,Minh Y Phát,NuZhuJiaoTouFa25,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
50,Hair,49,1,Minh Y Phát,NanZhuJiaoTouFa25,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
51,Hair,50,0,Tiên Lữ Phát,NuZhuJiaoTouFaXianLuQiYuan,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
52,Hair,51,1,Tiên Lữ Phát,NanZhuJiaoTouFaXianLuQiYuan,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
53,Hair,52,0,Tuyết Vũ Phát,NuZhuJiaoTouFaQingLiang,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
54,Hair,53,1,Tuyết Vũ Phát,NanZhuJiaoTouFaQingLiang,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
55,Hair,54,0,Ly Mộng Phát,NuZhuJiaoTouFa29,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
56,Hair,55,1,Ly Mộng Phát,NanZhuJiaoTouFa29,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
57,Hair,56,0,Phi Bạo Phát,NuZhuJiaoTouFa30,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
58,Hair,57,1,Phi Bạo Phát,NanZhuJiaoTouFa30,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
59,Hair,58,0,Lam Vân Phát,NuZhuJiaoTouFa31,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
60,Hair,59,1,Lam Vân Phát,NanZhuJiaoTouFa31,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
61,Hair,60,0,Uổng Củ Phát,NuZhuJiaoTouFa32,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
62,Hair,61,1,Uổng Củ Phát,NanZhuJiaoTouFa32,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
63,Hair,62,0,Cuồng Lan Phát,NuZhuJiaoTouFa34,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
64,Hair,63,1,Cuồng Lan Phát,NanZhuJiaoTouFa35,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
65,Hair,64,1,U Liêm Phát,NanZhuJiaoTouFa36a,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
66,Hair,65,0,U Liêm Phát,NuZhuJiaoTouFa35,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
67,Hair,66,1,Liễu Trần Phát,NanZhuJiaoTouPi01,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
68,Hair,67,0,Liễu Trần Phát,NuZhuJiaoTouPi01,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
69,Hair,68,1,Thấm Bàn Phát,NanZhuJiaoTouFa37,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShi37"",""LerpFactor"":""0""}}]"
70,Hair,69,0,Thấm Bàn Phát,NuZhuJiaoTouFa36,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi36"",""LerpFactor"":""0""}}]"
71,Hair,70,0,Dật Khinh Phát,NuZhuJiaoTouFa40,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
72,Hair,71,0,Như Nguyệt Phát,NuZhuJiaoTouFa41,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
73,Hair,72,1,Dật Khinh Phát,NanZhuJiaoTouFa38,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
74,Hair,73,1,Như Nguyệt Phát,NanZhuJiaoTouFa41,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
75,Hair,74,0,U Lương Phát,NuZhuJiaoTouFa46,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi46"",""LerpFactor"":""0""}}]"
76,Hair,75,0,Anh Võ Phát,NuZhuJiaoTouFa47,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi47"",""LerpFactor"":""0""}}]"
77,Hair,76,1,Anh Võ Phát,NanZhuJiaoTouFa45,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShi45"",""LerpFactor"":""0""}}]"
78,Hair,77,1,U Lương Phát,NanZhuJiaoTouFa47,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouFa47"",""LerpFactor"":""0.3""}}]"
79,Hair,78,0,Vân Thuỷ Phát,NuZhuJiaoTouFa52,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi52"",""LerpFactor"":""0""}}]"
80,Hair,79,1,Vân Thuỷ Phát,NanZhuJiaoTouFa52,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShi52"",""LerpFactor"":""0""}}]"
81,Hair,80,0,Tuấn Dật Phát,NuZhuJiaoTouFa58,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi58"",""LerpFactor"":""0""}}]"
82,Hair,81,1,Tuấn Dật Phát,NanZhuJiaoTouFa53,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
83,Hair,82,0,Liên Thành Phát,NuZhuJiaoTouFa60,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi60"",""LerpFactor"":""0""}}]"
84,Hair,83,1,Liên Thành Phát,NanZhuJiaoTouFa44,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
85,Hair,84,1,Xung Vân Phát,NanZhuJiaoFaXing58,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
86,Hair,85,0,Xung Vân Phát,NuZhuJiaoTouFa61,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi61"",""LerpFactor"":""0""}}]"
