RowIndex,Tag,ID,NextID,Name,Type,Level,Model,ScaleP,ManPosition,WomanPosition,ManRotation,WomanRotation,UseAdditiveShader,Alpha,Text,ChildrenJSON
1,Wing,100,110,Phụ thể - Đôi Cánh (Cấp 1),Wing,1,HeTiChiBangJi120726,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
2,Wing,101,111,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe1,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
3,Wing,102,112,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe2,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
4,Wing,103,113,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe3,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
5,Wing,104,114,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe4,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
6,Wing,105,115,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe5,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
7,Wing,106,116,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe6,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
8,Wing,107,117,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe7,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
9,Wing,108,118,Phụ thể - Đôi Cánh Biến Sắc (Cấp 1),Wing,1,HeTiChiBangJi120726BianSe8,"220,220,220","0,-30,-70","0,-45,-65","60,-1,0","55,0,0",false,50,,
10,Wing,110,120,Phụ thể - Đôi Cánh (Cấp 2),Wing,2,HeTiChiBangErJi120726,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
11,Wing,111,121,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe1,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
12,Wing,112,122,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe2,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
13,Wing,113,123,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe3,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
14,Wing,114,124,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe4,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
15,Wing,115,125,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe5,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
16,Wing,116,126,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe6,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
17,Wing,117,127,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe7,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
18,Wing,118,128,Phụ thể - Đôi Cánh Biến Sắc (Cấp 2),Wing,2,HeTiChiBangErJi120726BianSe8,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
19,Wing,120,130,Phụ thể - Đôi Cánh (Cấp 3),Wing,3,HeTiChiBangSanJi120726,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
20,Wing,121,131,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe1,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
21,Wing,122,132,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe2,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
