RowIndex,Tag,WomanID,ManID,ClothID,ShoesID,CuffID,Text,ChildrenJSON
1,Hair,0,5,,,,,
2,Hair,1,6,,,,,
3,Hair,2,7,,,,,
4,Face,1,100,,,,,
5,Face,2,101,,,,,
6,Face,3,102,,,,,
7,Garment,,,437,440,443,,
8,Garment,,,438,441,444,,
9,Garment,,,439,442,445,,
10,Avarta,1,1001,,,,,
11,Avarta,2,1002,,,,,
12,Avarta,3,1003,,,,,
13,Avarta,4,1004,,,,,
14,Avarta,5,1005,,,,,
15,Avarta,6,1006,,,,,
16,Avarta,7,1007,,,,,
17,Avarta,8,1008,,,,,
18,Avarta,9,1009,,,,,
19,Avarta,10,1010,,,,,
20,Avarta,11,1011,,,,,
21,Avarta,12,1012,,,,,
