RowIndex,Tag,Level,Value,StrikeThroughAttack,StrikeThroughDefense,Rate,Fallback,MoneyCost,BoundMoney,Text,ChildrenJSON
1,Data,1,10,0,0,60,1,2000,true,,
2,Data,2,15,0,0,50,1,2000,true,,
3,Data,3,21,0,0,45,1,2000,true,,
4,Data,4,30,0,0,15,1,3000,true,,
5,Data,5,44,0,0,20,5,4500,true,,
6,Data,6,70,0,0,10,5,5000,true,,
7,Data,7,93,0,0,1,7,6000,true,,
8,Data,8,135,0,0,1,8,7500,true,,
9,Data,9,195,0,0,100,9,1000000,false,,
10,Data,10,195,50,50,100,10,2000000,false,,
11,Data,11,195,58,58,100,11,3000000,false,,
12,Data,12,195,66,66,100,12,4000000,false,,
13,Data,13,195,74,74,100,13,5000000,false,,
14,Data,14,195,82,82,100,14,6000000,false,,
15,Data,15,195,90,90,100,15,7000000,false,,
16,Data,16,195,98,98,100,16,8000000,false,,
17,Data,17,195,106,106,100,17,9000000,false,,
18,Data,18,195,114,114,100,18,10000000,false,,
19,Data,19,195,122,122,100,19,11000000,false,,
20,Data,20,195,130,130,100,20,12000000,false,,
21,Data,21,195,140,140,100,21,13000000,false,,
22,Data,22,195,150,150,100,22,14000000,false,,
23,Data,23,195,160,160,100,23,15000000,false,,
24,Data,24,195,170,170,100,24,16000000,false,,
25,Data,25,195,180,180,100,25,17000000,false,,
26,Data,26,195,190,190,100,26,18000000,false,,
27,Data,27,195,200,200,100,27,19000000,false,,
28,Data,28,195,210,210,100,28,20000000,false,,
29,Data,29,195,220,220,100,29,21000000,false,,
30,Data,30,195,230,230,100,30,22000000,false,,
31,Data,31,195,242,242,100,31,23000000,false,,
32,Data,32,195,254,254,100,32,24000000,false,,
33,Data,33,195,266,266,100,33,25000000,false,,
34,Data,34,195,278,278,100,34,26000000,false,,
35,Data,35,195,290,290,100,35,27000000,false,,
36,Data,36,195,302,302,100,36,28000000,false,,
37,Data,37,195,314,314,100,37,29000000,false,,
38,Data,38,195,326,326,100,38,30000000,false,,
39,Data,39,195,338,338,100,39,31000000,false,,
40,Data,40,195,350,350,100,40,32000000,false,,
41,Data,41,195,365,365,100,41,33000000,false,,
42,Data,42,195,380,380,100,42,34000000,false,,
43,Data,43,195,395,395,100,43,35000000,false,,
44,Data,44,195,410,410,100,44,36000000,false,,
45,Data,45,195,425,425,100,45,37000000,false,,
46,Data,46,195,440,440,100,46,38000000,false,,
47,Data,47,195,455,455,100,47,39000000,false,,
48,Data,48,195,470,470,100,48,40000000,false,,
49,Data,49,195,485,485,100,49,41000000,false,,
50,Data,50,195,500,500,100,50,42000000,false,,
51,Data,51,195,518,518,100,51,43000000,false,,
52,Data,52,195,536,536,100,52,44000000,false,,
53,Data,53,195,554,554,100,53,45000000,false,,
54,Data,54,195,572,572,100,54,46000000,false,,
55,Data,55,195,590,590,100,55,47000000,false,,
56,Data,56,195,608,608,100,56,48000000,false,,
57,Data,57,195,626,626,100,57,49000000,false,,
58,Data,58,195,644,644,100,58,50000000,false,,
59,Data,59,195,662,662,100,59,51000000,false,,
60,Data,60,195,680,680,100,60,52000000,false,,
61,Data,61,195,700,700,100,61,53000000,false,,
62,Data,62,195,720,720,100,62,54000000,false,,
63,Data,63,195,740,740,100,63,55000000,false,,
64,Data,64,195,760,760,100,64,56000000,false,,
65,Data,65,195,780,780,100,65,57000000,false,,
66,Data,66,195,800,800,100,66,58000000,false,,
67,Data,67,195,820,820,100,67,59000000,false,,
68,Data,68,195,840,840,100,68,60000000,false,,
69,Data,69,195,860,860,100,69,61000000,false,,
70,Data,70,195,880,880,100,70,62000000,false,,
71,Data,71,195,902,902,100,71,63000000,false,,
72,Data,72,195,924,924,100,72,64000000,false,,
73,Data,73,195,946,946,100,73,65000000,false,,
74,Data,74,195,968,968,100,74,66000000,false,,
75,Data,75,195,990,990,100,75,67000000,false,,
76,Data,76,195,1012,1012,100,76,68000000,false,,
77,Data,77,195,1034,1034,100,77,69000000,false,,
78,Data,78,195,1056,1056,100,78,70000000,false,,
79,Data,79,195,1078,1078,100,79,71000000,false,,
80,Data,80,195,1100,1100,100,80,72000000,false,,
81,Data,81,195,1125,1125,100,81,73000000,false,,
82,Data,82,195,1150,1150,100,82,74000000,false,,
83,Data,83,195,1175,1175,100,83,75000000,false,,
84,Data,84,195,1200,1200,100,84,76000000,false,,
85,Data,85,195,1225,1225,100,85,77000000,false,,
86,Data,86,195,1250,1250,100,86,78000000,false,,
87,Data,87,195,1275,1275,100,87,79000000,false,,
88,Data,88,195,1300,1300,100,88,80000000,false,,
89,Data,89,195,1325,1325,100,89,81000000,false,,
90,Data,90,195,1350,1350,100,90,82000000,false,,
91,Data,91,195,1380,1380,100,91,83000000,false,,
92,Data,92,195,1410,1410,100,92,84000000,false,,
93,Data,93,195,1440,1440,100,93,85000000,false,,
94,Data,94,195,1470,1470,100,94,86000000,false,,
95,Data,95,195,1500,1500,100,95,87000000,false,,
96,Data,96,195,1530,1530,100,96,88000000,false,,
97,Data,97,195,1560,1560,100,97,89000000,false,,
98,Data,98,195,1590,1590,100,98,90000000,false,,
99,Data,99,195,1620,1620,100,99,91000000,false,,
