RowIndex,Tag,Rate,Value,Text,ChildrenJSON
1,Data,0,0,,
2,Data,1,1,,
3,Data,2,1,,
4,Data,3,1,,
5,Data,4,1,,
6,Data,5,1,,
7,Data,6,1,,
8,Data,7,1,,
9,Data,8,1,,
10,Data,9,1,,
11,Data,10,1,,
12,Data,11,1,,
13,Data,12,1,,
14,Data,13,1,,
15,Data,14,1,,
16,Data,15,1,,
17,Data,16,1,,
18,Data,17,1,,
19,Data,18,1,,
20,Data,19,1,,
21,Data,20,2,,
22,Data,21,2,,
23,Data,22,2,,
24,Data,23,2,,
25,Data,24,2,,
26,Data,25,2,,
27,Data,26,2,,
28,Data,27,2,,
29,Data,28,2,,
30,Data,29,2,,
31,Data,30,2,,
32,Data,31,2,,
33,Data,32,2,,
34,Data,33,2,,
35,Data,34,2,,
36,Data,35,2,,
37,Data,36,2,,
38,Data,37,2,,
39,Data,38,2,,
40,Data,39,2,,
41,Data,40,2,,
42,Data,41,2,,
43,Data,42,3,,
44,Data,43,3,,
45,Data,44,3,,
46,Data,45,3,,
47,Data,46,3,,
48,Data,47,3,,
49,Data,48,3,,
50,Data,49,3,,
51,Data,50,3,,
52,Data,51,3,,
53,Data,52,3,,
54,Data,53,3,,
55,Data,54,3,,
56,Data,55,3,,
57,Data,56,3,,
58,Data,57,4,,
59,Data,58,4,,
60,Data,59,4,,
61,Data,60,4,,
62,Data,61,4,,
63,Data,62,4,,
64,Data,63,4,,
65,Data,64,4,,
66,Data,65,4,,
67,Data,66,4,,
68,Data,67,4,,
69,Data,68,5,,
70,Data,69,5,,
71,Data,70,5,,
72,Data,71,5,,
73,Data,72,5,,
74,Data,73,5,,
75,Data,74,5,,
76,Data,75,5,,
77,Data,76,5,,
78,Data,77,6,,
79,Data,78,6,,
80,Data,79,6,,
81,Data,80,6,,
82,Data,81,6,,
83,Data,82,6,,
84,Data,83,6,,
85,Data,84,7,,
86,Data,85,7,,
87,Data,86,7,,
88,Data,87,7,,
89,Data,88,7,,
90,Data,89,7,,
91,Data,90,8,,
92,Data,91,8,,
93,Data,92,8,,
94,Data,93,8,,
95,Data,94,8,,
96,Data,95,8,,
97,Data,96,9,,
98,Data,97,9,,
99,Data,98,9,,
100,Data,99,9,,
101,Data,100,9,,
102,Data,101,10,,
103,Data,102,10,,
104,Data,103,10,,
105,Data,104,10,,
106,Data,105,11,,
107,Data,106,11,,
108,Data,107,11,,
109,Data,108,11,,
110,Data,109,12,,
111,Data,110,12,,
112,Data,111,12,,
113,Data,112,12,,
114,Data,113,13,,
115,Data,114,13,,
116,Data,115,13,,
117,Data,116,14,,
118,Data,117,14,,
119,Data,118,14,,
120,Data,119,15,,
121,Data,120,15,,
122,Data,121,15,,
123,Data,122,16,,
124,Data,123,16,,
125,Data,124,16,,
126,Data,125,17,,
127,Data,126,17,,
128,Data,127,17,,
129,Data,128,17,,
130,Data,129,17,,
131,Data,130,18,,
132,Data,131,18,,
133,Data,132,18,,
134,Data,133,18,,
135,Data,134,18,,
136,Data,135,18,,
137,Data,136,19,,
138,Data,137,19,,
139,Data,138,19,,
140,Data,139,19,,
141,Data,140,19,,
142,Data,141,20,,
143,Data,142,20,,
144,Data,143,20,,
145,Data,144,20,,
146,Data,145,20,,
147,Data,146,21,,
148,Data,147,21,,
149,Data,148,21,,
150,Data,149,21,,
151,Data,150,21,,
152,Data,151,22,,
153,Data,152,22,,
154,Data,153,22,,
155,Data,154,22,,
156,Data,155,22,,
157,Data,156,23,,
158,Data,157,23,,
159,Data,158,23,,
160,Data,159,23,,
161,Data,160,24,,
162,Data,161,24,,
163,Data,162,24,,
164,Data,163,24,,
165,Data,164,24,,
166,Data,165,25,,
167,Data,166,25,,
168,Data,167,25,,
169,Data,168,25,,
170,Data,169,26,,
171,Data,170,26,,
172,Data,171,26,,
173,Data,172,26,,
174,Data,173,27,,
175,Data,174,27,,
176,Data,175,27,,
177,Data,176,28,,
178,Data,177,28,,
179,Data,178,28,,
180,Data,179,28,,
181,Data,180,29,,
182,Data,181,29,,
183,Data,182,29,,
184,Data,183,30,,
185,Data,184,30,,
186,Data,185,30,,
187,Data,186,30,,
188,Data,187,31,,
189,Data,188,31,,
190,Data,189,31,,
191,Data,190,32,,
192,Data,191,32,,
193,Data,192,32,,
194,Data,193,33,,
195,Data,194,33,,
196,Data,195,33,,
197,Data,196,34,,
198,Data,197,34,,
199,Data,198,34,,
200,Data,199,35,,
201,Data,200,35,,
202,Data,201,35,,
203,Data,202,36,,
204,Data,203,36,,
205,Data,204,36,,
206,Data,205,37,,
207,Data,206,37,,
208,Data,207,37,,
209,Data,208,38,,
210,Data,209,38,,
211,Data,210,39,,
212,Data,211,39,,
213,Data,212,39,,
214,Data,213,40,,
215,Data,214,40,,
216,Data,215,40,,
217,Data,216,41,,
218,Data,217,41,,
219,Data,218,42,,
220,Data,219,42,,
221,Data,220,43,,
222,Data,221,43,,
223,Data,222,43,,
224,Data,223,44,,
225,Data,224,44,,
226,Data,225,45,,
227,Data,226,45,,
228,Data,227,46,,
229,Data,228,46,,
230,Data,229,46,,
231,Data,230,47,,
232,Data,231,47,,
233,Data,232,48,,
234,Data,233,48,,
235,Data,234,49,,
236,Data,235,49,,
237,Data,236,50,,
238,Data,237,50,,
239,Data,238,51,,
240,Data,239,51,,
241,Data,240,52,,
242,Data,241,52,,
243,Data,242,53,,
244,Data,243,53,,
245,Data,244,54,,
246,Data,245,54,,
247,Data,246,55,,
248,Data,247,55,,
249,Data,248,56,,
250,Data,249,57,,
251,Data,250,57,,
252,Data,251,58,,
253,Data,252,58,,
254,Data,253,59,,
255,Data,254,59,,
256,Data,255,60,,
