RowIndex,Tag,ID,Name,Text,ChildrenJSON
1,Sculpture,1,Cường Lực,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""1"",""Value"":""15""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""2"",""Value"":""30""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""3"",""Value"":""45""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""4"",""Value"":""60""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""5"",""Value"":""75""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""6"",""Value"":""90""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""7"",""Value"":""105""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""8"",""Value"":""120""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""9"",""Value"":""135""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_strength"",""Level"":""10"",""Value"":""150""}}]"
2,Sculpture,2,Nội Lực,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""1"",""Value"":""15""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""2"",""Value"":""30""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""3"",""Value"":""45""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""4"",""Value"":""60""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""5"",""Value"":""75""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""6"",""Value"":""90""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""7"",""Value"":""105""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""8"",""Value"":""120""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""9"",""Value"":""135""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_energy"",""Level"":""10"",""Value"":""150""}}]"
3,Sculpture,3,Thể Lực,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""1"",""Value"":""15""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""2"",""Value"":""30""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""3"",""Value"":""45""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""4"",""Value"":""60""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""5"",""Value"":""75""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""6"",""Value"":""90""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""7"",""Value"":""105""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""8"",""Value"":""120""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""9"",""Value"":""135""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_stamina"",""Level"":""10"",""Value"":""150""}}]"
4,Sculpture,4,Trí Lực,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""1"",""Value"":""15""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""2"",""Value"":""30""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""3"",""Value"":""45""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""4"",""Value"":""60""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""5"",""Value"":""75""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""6"",""Value"":""90""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""7"",""Value"":""105""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""8"",""Value"":""120""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""9"",""Value"":""135""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_intelligence"",""Level"":""10"",""Value"":""150""}}]"
5,Sculpture,5,Thân Pháp,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""1"",""Value"":""10""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""2"",""Value"":""20""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""3"",""Value"":""30""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""4"",""Value"":""40""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""5"",""Value"":""50""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""6"",""Value"":""60""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""7"",""Value"":""70""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""8"",""Value"":""80""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""9"",""Value"":""90""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_dexterity"",""Level"":""10"",""Value"":""100""}}]"
6,Sculpture,6,Huyết,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""1"",""Value"":""500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""2"",""Value"":""1000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""3"",""Value"":""1500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""4"",""Value"":""2000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""5"",""Value"":""2500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""6"",""Value"":""3000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""7"",""Value"":""3500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""8"",""Value"":""4000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""9"",""Value"":""4500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxhp"",""Level"":""10"",""Value"":""5000""}}]"
7,Sculpture,7,Khí,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo_10""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo_11""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo_12""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo_13""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""1"",""Value"":""500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""2"",""Value"":""1000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""3"",""Value"":""1500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""4"",""Value"":""2000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""5"",""Value"":""2500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""6"",""Value"":""3000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""7"",""Value"":""3500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""8"",""Value"":""4000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""9"",""Value"":""4500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_maxmp"",""Level"":""10"",""Value"":""5000""}}]"
8,Sculpture,10,Ngoại Công,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo2_5""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""1"",""Value"":""200""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""2"",""Value"":""500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""3"",""Value"":""800""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""4"",""Value"":""1100""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""5"",""Value"":""1400""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""6"",""Value"":""1700""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""7"",""Value"":""2000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""8"",""Value"":""2300""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""9"",""Value"":""2600""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_physatk"",""Level"":""10"",""Value"":""2900""}}]"
9,Sculpture,11,Nội Công,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo2_5""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""1"",""Value"":""200""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""2"",""Value"":""500""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""3"",""Value"":""800""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""4"",""Value"":""1100""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""5"",""Value"":""1400""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""6"",""Value"":""1700""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""7"",""Value"":""2000""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""8"",""Value"":""2300""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""9"",""Value"":""2600""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_magicatk"",""Level"":""10"",""Value"":""2900""}}]"
10,Sculpture,12,Băng Công,,"[{""Tag"":""Icon"",""Attributes"":{""Level"":""1"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""2"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""3"",""Icon"":""Tattoo2_2""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""4"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""5"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""6"",""Icon"":""Tattoo2_3""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""7"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""8"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""9"",""Icon"":""Tattoo2_4""}},{""Tag"":""Icon"",""Attributes"":{""Level"":""10"",""Icon"":""Tattoo2_5""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""1"",""Value"":""10""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""2"",""Value"":""30""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""3"",""Value"":""50""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""4"",""Value"":""70""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""5"",""Value"":""90""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""6"",""Value"":""110""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""7"",""Value"":""130""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""8"",""Value"":""150""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""9"",""Value"":""170""}},{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_iceatk"",""Level"":""10"",""Value"":""190""}}]"
