RowIndex,Tag,ID,Name,Text,ChildrenJSON
1,Set,0,Ma Kha,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""54""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""6""}}]"
2,Set,1,Vô Tướng,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""10""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp"",""Value"":""966""}}]"
3,Set,2,Vi Đà,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
4,Set,3,Kim Cương,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""17""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""17""}}]"
5,Set,4,Bát Nhã,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""196""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_lightres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
6,Set,5,La Hán,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_lightatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
7,Set,6,Ma Thiên,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""270""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""28""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
8,Set,7,Vô Trần,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""32""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef_p"",""Value"":""35""}}]"
9,Set,8,Quy Ai,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""345""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp"",""Value"":""3919""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
10,Set,9,Tu Bích,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
11,Set,10,Tâm Hàn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_lightatk"",""Value"":""24""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""384""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
12,Set,11,Bồ Đề,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""7""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
13,Set,12,Ma Ni,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""48""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""6""}}]"
14,Set,13,Yết Đế,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""91""}}]"
15,Set,14,Liệt Diệm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
16,Set,15,Nộ Diệm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""17""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""9""}}]"
17,Set,16,Địa Hoả,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""197""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_fireres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
18,Set,17,Quy Trần,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_fireatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
19,Set,18,Thiên Hoả,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""272""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""29""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
20,Set,19,Phần Diệt,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""33""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk_p"",""Value"":""35""}}]"
21,Set,20,Thánh Hỏa,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""346""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""385""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
22,Set,21,Viêm Nhật,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dodge"",""Value"":""143""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
