RowIndex,Tag,ID,Type,Name,Icon,EquipPoint,VisualID,BoundRule,SetID,SetAttributeLine,Level,FactionID,BasePrice,SellPrice,Durability,Identifiable,Star,BaseValueID,MinLine,MaxLine,MinIdentifiedRate,BuffID,DurationHour,ExtraHint,Description,Text,ChildrenJSON
18001,Equip,10452146,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,95,-1,3480,2784,231,true,1,95,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18002,Equip,10452147,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,96,-1,3560,2848,232,true,1,96,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18003,Equip,10452148,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,94,-1,3400,2720,230,true,1,94,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18004,Equip,10452149,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,95,-1,3480,2784,231,true,1,95,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18005,Equip,10452150,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,96,-1,3560,2848,232,true,1,96,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18006,Equip,10452151,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,94,-1,3400,2720,230,true,1,94,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18007,Equip,10452152,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,95,-1,3480,2784,231,true,1,95,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18008,Equip,10452153,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,96,-1,3560,2848,232,true,1,96,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18009,Equip,10452154,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,94,-1,3400,2720,230,true,1,94,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
18010,Equip,10452155,22,Chưa dùng,Ring3_5,6,-1,2,-1,-1,95,-1,3480,2784,231,true,1,95,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""299""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""299""}}]"
