RowIndex,Tag,ID,NormalColor,SeriesColor,BrightColor,IsBright,IsSeries,UseAdditiveShader,Text,ChildrenJSON
1,AlphaConfig,,,,,,,,,"[{""Tag"":""Normal"",""Attributes"":{""Thresholds"":""15,40,70,90,120,140,160,160,160""}},{""Tag"":""Series"",""Attributes"":{""Thresholds"":""15,40,70,120,150,200,255,255,255""}},{""Tag"":""Bright"",""Attributes"":{""Thresholds"":""15,40,70,120,150,200,255,255,255""}}]"
2,GemColor,50101001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
3,GemColor,50201001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
4,GemColor,50301001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
5,GemColor,50401001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
6,GemColor,50501001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
7,GemColor,50601001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
8,GemColor,50701001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
9,GemColor,50801001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
10,GemColor,50901001,#7661B3,#FFFFFF,#DAAAEF,false,false,true,,
11,GemColor,50101002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
12,GemColor,50201002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
13,GemColor,50301002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
14,GemColor,50401002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
15,GemColor,50501002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
16,GemColor,50601002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
17,GemColor,50701002,#647D84,#FFFFFF,#67EBF5,false,false,true,,
18,GemColor,50102001,#877D49,#FFFFFF,#F8D600,false,false,true,,
19,GemColor,50102001,#877D49,#FFFFFF,#F8D600,false,false,true,,
20,GemColor,50202001,#877D49,#FFFFFF,#F8D600,false,false,true,,
21,GemColor,50302001,#877D49,#FFFFFF,#F8D600,false,false,true,,
22,GemColor,50402001,#877D49,#FFFFFF,#F8D600,false,false,true,,
23,GemColor,50502001,#877D49,#FFFFFF,#F8D600,false,false,true,,
24,GemColor,50602001,#877D49,#FFFFFF,#F8D600,false,false,true,,
25,GemColor,50702001,#877D49,#FFFFFF,#F8D600,false,false,true,,
26,GemColor,50802001,#877D49,#FFFFFF,#F8D600,false,false,true,,
27,GemColor,50902001,#877D49,#FFFFFF,#F8D600,false,false,true,,
28,GemColor,50102009,#877D49,#FFFFFF,#F8D600,false,false,true,,
29,GemColor,50202009,#877D49,#FFFFFF,#F8D600,false,false,true,,
30,GemColor,50302009,#877D49,#FFFFFF,#F8D600,false,false,true,,
