RowIndex,Tag,Level,ExpRequest,PointUpdate,ID,Name,Icon,Desc,PointPerGold,Text,ChildrenJSON
1,LevelUps,2,20000,100000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""1000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""1000""}}]"
2,LevelUps,3,40000,500000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""2000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""2000""}}]"
3,LevelUps,4,60000,1000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""4000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""4000""}}]"
4,LevelUps,5,80000,3000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""7000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""7000""}}]"
5,LevelUps,6,100000,6000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""10000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""10000""}}]"
6,LevelUps,7,150000,10000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""15000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""15000""}}]"
7,LevelUps,8,250000,20000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""20000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""20000""}}]"
8,LevelUps,9,350000,50000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""30000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""30000""}}]"
9,LevelUps,10,500000,100000000,,,,,,,"[{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""50000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""50000""}}]"
10,Skills,,,,35001,Thông Bát Mạch,Icon_Skill_1,Tăng ngoại công và nội công,,,"[{""Tag"":""LevelData"",""Attributes"":{""Level"":""1"",""PointUpdate"":""1000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""36"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""36"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""100""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""100""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""2"",""PointUpdate"":""2000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""72"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""72"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""500""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""500""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""3"",""PointUpdate"":""3000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""108"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""108"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""1000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""1000""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""4"",""PointUpdate"":""4000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""144"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""144"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""1500""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""1500""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""5"",""PointUpdate"":""5000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""180"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""180"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""2000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""2000""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""6"",""PointUpdate"":""6000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""216"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""216"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""3000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""3000""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""7"",""PointUpdate"":""7000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""252"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""252"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""4000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""4000""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""8"",""PointUpdate"":""8000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""288"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""288"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""5000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""5000""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""9"",""PointUpdate"":""9000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""324"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""324"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""6000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""6000""}}]},{""Tag"":""LevelData"",""Attributes"":{""Level"":""10"",""PointUpdate"":""10000""},""Children"":[{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_physatkbase"",""Value1"":""360"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""SkillProb"",""Attributes"":{""PropType"":""magic_magicatkbase"",""Value1"":""360"",""Value2"":""-1"",""Value3"":""-1""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010958"",""ItemNum"":""8000""}},{""Tag"":""ItemRequest"",""Attributes"":{""ItemID"":""40010959"",""ItemNum"":""8000""}}]}]"
