RowIndex,Tag,TaskID,TaskName,TaskDescription,TaskType,TaskCondition,Text,ChildrenJSON
1,GuildTaskData,100000,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|100,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
2,GuildTaskData,100001,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|100,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
3,GuildTaskData,100002,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|100,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
4,GuildTaskData,100003,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|100,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
5,GuildTaskData,100004,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|100,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
6,GuildTaskData,100005,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|150,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
7,GuildTaskData,100006,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|150,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
8,GuildTaskData,100007,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|150,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
9,GuildTaskData,100008,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|150,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
10,GuildTaskData,100009,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|150,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
11,GuildTaskData,100010,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|200,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
