RowIndex,Tag,Name,Text,ChildrenJSON
1501,Object,QinZiHeTi150604ChiBang06_2,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""ThienVu2"",""Position"":""0,5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""ThienVu2"",""Position"":""0,-5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}}]"
1502,Object,QinZiHeTi150604ChiBang06_3,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""ThienVu3"",""Position"":""0,5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""ThienVu3"",""Position"":""0,-5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}}]"
1503,Object,QinZiHeTi150604ChiBang06_4,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""ThienVu4"",""Position"":""0,5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""ThienVu4"",""Position"":""0,-5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}}]"
1504,Object,QinZiHeTi150604ChiBang06_5,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""ThienVu5"",""Position"":""0,5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""ThienVu5"",""Position"":""0,-5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}}]"
1505,Object,QinZiHeTi150604ChiBang06_6,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""ThienVu6"",""Position"":""0,5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""ThienVu6"",""Position"":""0,-5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}}]"
1506,Object,QinZiHeTi150604ChiBang06_7,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""ThienVu7"",""Position"":""0,5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""ThienVu7"",""Position"":""0,-5,25"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""50""}}]"
1507,Object,QinZiHeTi150604ChiBang05,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""laplanh33"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""laplanh33"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1508,Object,QinZiHeTi150604ChiBang05_1,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien1"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien1"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1509,Object,QinZiHeTi150604ChiBang05_2,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien2"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien2"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1510,Object,QinZiHeTi150604ChiBang05_3,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien3"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien3"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1511,Object,QinZiHeTi150604ChiBang05_4,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien4"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien4"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1512,Object,QinZiHeTi150604ChiBang05_5,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien5"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien5"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1513,Object,QinZiHeTi150604ChiBang05_6,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien6"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien6"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1514,Object,QinZiHeTi150604ChiBang05_7,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien7"",""Position"":""0,5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien7"",""Position"":""0,-5,5"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""40""}}]"
1515,Object,QinZiHeTi150604ChiBang04,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""laplanh33"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""laplanh33"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1516,Object,QinZiHeTi150604ChiBang04_1,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien1"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien1"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1517,Object,QinZiHeTi150604ChiBang04_2,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien2"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien2"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1518,Object,QinZiHeTi150604ChiBang04_3,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien3"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien3"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1519,Object,QinZiHeTi150604ChiBang04_4,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien4"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien4"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1520,Object,QinZiHeTi150604ChiBang04_5,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien5"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien5"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1521,Object,QinZiHeTi150604ChiBang04_6,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien6"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien6"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1522,Object,QinZiHeTi150604ChiBang04_7,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien7"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien7"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1523,Object,QinZiHeTi150604ChiBang03,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""laplanh33"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""laplanh33"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1524,Object,QinZiHeTi150604ChiBang03_1,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien1"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien1"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1525,Object,QinZiHeTi150604ChiBang03_2,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien2"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien2"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1526,Object,QinZiHeTi150604ChiBang03_3,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien3"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien3"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1527,Object,QinZiHeTi150604ChiBang03_4,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien4"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien4"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1528,Object,QinZiHeTi150604ChiBang03_5,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien5"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien5"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1529,Object,QinZiHeTi150604ChiBang03_6,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien6"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien6"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1530,Object,QinZiHeTi150604ChiBang03_7,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien7"",""Position"":""0,5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien7"",""Position"":""0,-5,0"",""Rotation"":""0,0,0"",""Additive"":""true"",""Scale"":""30""}}]"
1531,Object,QinZiHeTi150604ChiBang02,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""laplanh33"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""laplanh33"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1532,Object,QinZiHeTi150604ChiBang02_1,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien1"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien1"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1533,Object,QinZiHeTi150604ChiBang02_2,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien2"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien2"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1534,Object,QinZiHeTi150604ChiBang02_3,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien3"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien3"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1535,Object,QinZiHeTi150604ChiBang02_4,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien4"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien4"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1536,Object,QinZiHeTi150604ChiBang02_5,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien5"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien5"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1537,Object,QinZiHeTi150604ChiBang02_6,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien6"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien6"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
1538,Object,QinZiHeTi150604ChiBang02_7,,"[{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07"",""FxName"":""VuThien7"",""Position"":""0,5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}},{""Tag"":""Fx"",""Attributes"":{""BoneName"":""Bone07mirrored"",""FxName"":""VuThien7"",""Position"":""0,-5,0"",""Rotation"":""0,0,-10"",""Additive"":""true"",""Scale"":""20""}}]"
