RowIndex,Tag,Symbol,Description,IncludeSign,Text,ChildrenJSON
1,Attribute,magic_undefined,Chưa định nghĩa,true,,
2,Attribute,magic_maxhp,Huyết: <color=#FFFF00>{0}</color>,true,,
3,Attribute,magic_maxhp_p,Huyết: <color=#FFFF00>{0}%</color>,true,,
4,Attribute,magic_maxmp,Khí: <color=#FFFF00>{0}</color>,true,,
5,Attribute,magic_maxmp_p,Khí: <color=#FFFF00>{0}%</color>,true,,
6,Attribute,magic_iceatk,Băng công: <color=#FFFF00>{0}</color>,true,,
7,Attribute,magic_iceres,Kháng băng: <color=#FFFF00>{0}</color>,true,,
8,Attribute,magic_iceneg,Bỏ qua kháng băng: <color=#FFFF00>{0}</color>,true,,
9,Attribute,magic_icebreak,Giảm kháng băng đến âm: <color=#FFFF00>{0}</color>,true,,
10,Attribute,magic_fireatk,Hỏa công: <color=#FFFF00>{0}</color>,true,,
11,Attribute,magic_fireres,Kháng hỏa: <color=#FFFF00>{0}</color>,true,,
12,Attribute,magic_fireneg,Bỏ qua kháng hỏa: <color=#FFFF00>{0}</color>,true,,
13,Attribute,magic_firebreak,Giảm kháng hỏa đến âm: <color=#FFFF00>{0}</color>,true,,
14,Attribute,magic_lightatk,Huyền công: <color=#FFFF00>{0}</color>,true,,
15,Attribute,magic_lightres,Kháng huyền: <color=#FFFF00>{0}</color>,true,,
16,Attribute,magic_lightneg,Bỏ qua kháng huyền: <color=#FFFF00>{0}</color>,true,,
17,Attribute,magic_lightbreak,Giảm kháng huyền đến âm: <color=#FFFF00>{0}</color>,true,,
18,Attribute,magic_poisonatk,Độc công: <color=#FFFF00>{0}</color>,true,,
19,Attribute,magic_poisonres,Kháng độc: <color=#FFFF00>{0}</color>,true,,
20,Attribute,magic_poisonneg,Bỏ qua kháng độc: <color=#FFFF00>{0}</color>,true,,
21,Attribute,magic_poisonbreak,Giảm kháng độc đến âm: <color=#FFFF00>{0}</color>,true,,
22,Attribute,magic_physatk,Ngoại công: <color=#FFFF00>{0}</color>,true,,
23,Attribute,magic_physatkbase,Ngoại công cơ bản: <color=#FFFF00>{0}</color>,true,,
24,Attribute,magic_physatk_p,Ngoại công: <color=#FFFF00>{0}%</color>,true,,
25,Attribute,magic_physdef,Ngoại thủ: <color=#FFFF00>{0}</color>,true,,
26,Attribute,magic_physdefbase,Ngoại thủ cơ bản: <color=#FFFF00>{0}</color>,true,,
27,Attribute,magic_physdef_p,Ngoại thủ: <color=#FFFF00>{0}%</color>,true,,
28,Attribute,magic_magicatk,Nội công: <color=#FFFF00>{0}</color>,true,,
29,Attribute,magic_magicatkbase,Nội công cơ bản: <color=#FFFF00>{0}</color>,true,,
30,Attribute,magic_magicatk_p,Nội công: <color=#FFFF00>{0}%</color>,true,,
31,Attribute,magic_magicdef,Nội thủ: <color=#FFFF00>{0}</color>,true,,
32,Attribute,magic_magicdefbase,Nội thủ cơ bản: <color=#FFFF00>{0}</color>,true,,
33,Attribute,magic_magicdef_p,Nội thủ: <color=#FFFF00>{0}%</color>,true,,
34,Attribute,magic_hit,Chính xác: <color=#FFFF00>{0}</color>,true,,
35,Attribute,magic_hitbase,Chính xác cơ bản: <color=#FFFF00>{0}</color>,true,,
36,Attribute,magic_dodge,Né tránh: <color=#FFFF00>{0}</color>,true,,
37,Attribute,magic_dodgebase,Né tránh cơ bản: <color=#FFFF00>{0}</color>,true,,
38,Attribute,magic_critatk,Hội công: <color=#FFFF00>{0}</color>,true,,
39,Attribute,magic_critdef,Hội thủ: <color=#FFFF00>{0}</color>,true,,
40,Attribute,magic_strength,Cường lực: <color=#FFFF00>{0}</color>,true,,
41,Attribute,magic_energy,Nội lực: <color=#FFFF00>{0}</color>,true,,
42,Attribute,magic_stamina,Thể lực: <color=#FFFF00>{0}</color>,true,,
43,Attribute,magic_intelligence,Trí lực: <color=#FFFF00>{0}</color>,true,,
44,Attribute,magic_dexterity,Thân pháp: <color=#FFFF00>{0}</color>,true,,
45,Attribute,magic_allattributes,Tất cả thuộc tính: <color=#FFFF00>{0}</color>,true,,
46,Attribute,magic_strikethroughatk,Xuyên thích: <color=#FFFF00>{0}</color>,true,,
47,Attribute,magic_strikethroughdef,Phòng thủ xuyên thích: <color=#FFFF00>{0}</color>,true,,
48,Attribute,magic_movespeed,Tốc độ di chuyển: <color=#FFFF00>{0}</color>,false,,
49,Attribute,magic_movespeed_p,Tốc độ di chuyển: <color=#FFFF00>{0}%</color>,false,,
