RowIndex,Tag,ID,Name,Icon,TypeDesc,TargetType,ItemLevel,RequireLevel,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ProgressTime,ProgressTick,MaxUsageTimesPerDay,Text,ChildrenJSON
1,Medicine,30101001,Bánh bao,Food_1,Thực phẩm,Self,1,1,54,1,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""240,-1,-1""}}]"
2,Medicine,30101002,Cơm chiên Dương Châu,Food_2,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""421,-1,-1""}}]"
3,Medicine,30101003,Bánh Ngọc Mễ,Food_3,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""602,-1,-1""}}]"
4,Medicine,30101004,Bánh Thiên Tầng,Food2_4,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""783,-1,-1""}}]"
5,Medicine,30101005,Khảo Địa Qua,Food_4,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""964,-1,-1""}}]"
6,Medicine,30101006,Hoành Thánh,Food_5,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1145,-1,-1""}}]"
7,Medicine,30101007,Dầu Điều,Food_14,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1326,-1,-1""}}]"
8,Medicine,30101008,Xuân Quyển,Food_15,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1507,-1,-1""}}]"
9,Medicine,30101009,Ma Hoa,Food_16,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1688,-1,-1""}}]"
10,Medicine,30101010,Nguyên Tiêu,Food2_1,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1869,-1,-1""}}]"
11,Medicine,30101011,Thủy Tinh Hoàn Tử,Food2_2,Thực phẩm,Self,11,60,2091,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""2050,-1,-1""}}]"
12,Medicine,30101012,Bánh Tiêm,Food2_3,Thực phẩm,Self,12,60,2388,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""2231,-1,-1""}}]"
