RowIndex,Tag,Type,Color,Text,ChildrenJSON
1,Data,Default,#FFFFFF,,
2,Data,DefaultHPBar,#62ff57,,
3,Data,LeaderName,#001AFF,,
4,Data,PeacePlayerName,#001AFF,,
5,Data,EnemyPlayerName,#FF0000,,
6,Data,DangerousPlayerName,#FF00E5,,
7,Data,PlayerGuildTitle,#00C7FF,,
8,Data,PlayerTitle,#FCFF00,,
9,Data,PlayerTempTitle,#00FFA7,,
10,Data,PlayerSponsorTitle,#FF84F9,,
11,Data,MyPetName,#001AFF,,
12,Data,PeacePetName,#5100A4,,
13,Data,EnemyPetName,#FF0000,,
14,Data,DangerousPetName,#FF00E5,,
15,Data,WildPetName,#9B00FF,,
16,Data,PetTitle,#00FFA7,,
17,Data,NPCName,#FDFF81,,
18,Data,NPCTitle,#34FF70,,
19,Data,PeaceMonsterName,#FDFF81,,
20,Data,NormalMonsterName,#FDFF81,,
21,Data,HaterMonsterName,#FF000A,,
22,Data,MonsterTitle,#34FF70,,
23,Data,MonsterTempTitle,#34FF70,,
24,Data,GrowPointName,#FFFFFF,,
25,Data,PortalName,#FFDB00,,
26,Data,MyMarkName,#001AFF,,
27,Data,PeaceMarkName,#5100A4,,
28,Data,DangerousMarkName,#FF00E5,,
29,Data,EnemyMarkName,#FF0000,,
30,Data,PuppetName,#5100A4,,
31,Data,DecoBotName,#FF0FEF,,
32,Data,DecoBotTitle,#00FFA7,,
33,Data,LeaderHPBar,#beff8a,,
34,Data,PeacePlayerHPBar,#beff8a,,
35,Data,EnemyPlayerHPBar,#ff5757,,
36,Data,DangerousPlayerHPBar,#ff57ee,,
37,Data,MyPetHPBar,#beff8a,,
38,Data,PeacePetHPBar,#beff8a,,
39,Data,EnemyPetHPBar,#ff5757,,
40,Data,DangerousPetHPBar,#ff57ee,,
41,Data,MonsterHPBar,#fff457,,
42,Data,MyMarkHPBar,#beff8a,,
43,Data,PeaceMarkHPBar,#beff8a,,
44,Data,EnemyMarkHPBar,#ff5757,,
45,Data,DangerousMarkHPBar,#ff57ee,,
46,Data,SpiritName,#7B0050,,
47,Data,SpiritEnergyBar,#C28DFF,,
48,Data,GroupMember,#FFFA00,,
49,Data,GroupLeader,#00FF92,,
