RowIndex,Tag,KeyCode,Display,Color,AnchorMin,AnchorMax,Pivot,Position,DragRootPosition,EventType,StickedUI,Visible,Text,ChildrenJSON
1,KeyBinding,F1,F1,#525252,"1,0","1,0","1,0","-125,190","0,0",Click,SkillBar,true,,
2,KeyBinding,F2,F2,#525252,"1,0","1,0","1,0","-305,130","0,0",Click,SkillBar,true,,
3,KeyBinding,F3,F3,#525252,"1,0","1,0","1,0","-305,270","0,0",Click,SkillBar,true,,
4,KeyBinding,F4,F4,#525252,"1,0","1,0","1,0","-185,355","0,0",Click,SkillBar,true,,
5,KeyBinding,F5,F5,#525252,"1,0","1,0","1,0","-45,355","0,0",Click,SkillBar,true,,
6,KeyBinding,F6,F6,#525252,"1,0","1,0","1,0","-455,130","0,0",Click,SkillBar,true,,
7,KeyBinding,F7,F7,#525252,"1,0","1,0","1,0","-455,270","0,0",Click,SkillBar,true,,
8,KeyBinding,F8,F8,#525252,"1,0","1,0","1,0","-345,425","0,0",Click,SkillBar,true,,
9,KeyBinding,F9,F9,#525252,"1,0","1,0","1,0","-185,495","0,0",Click,SkillBar,true,,
10,KeyBinding,F10,F10,#525252,"1,0","1,0","1,0","-45,495","0,0",Click,SkillBar,true,,
11,KeyBinding,W,W,#525252,"0,0","0,0","0,0","205,320","205,205",Drag,MainUI_JoyStick,true,,
12,KeyBinding,E,E,#525252,"0,0","0,0","0,0","286,286","205,205",Drag,MainUI_JoyStick,true,,
13,KeyBinding,D,D,#525252,"0,0","0,0","0,0","320,205","205,205",Drag,MainUI_JoyStick,true,,
14,KeyBinding,X,X,#525252,"0,0","0,0","0,0","286,123","205,205",Drag,MainUI_JoyStick,true,,
15,KeyBinding,S,S,#525252,"0,0","0,0","0,0","205,90","205,205",Drag,MainUI_JoyStick,true,,
16,KeyBinding,Z,Z,#525252,"0,0","0,0","0,0","123,123","205,205",Drag,MainUI_JoyStick,true,,
17,KeyBinding,A,A,#525252,"0,0","0,0","0,0","90,205","205,205",Drag,MainUI_JoyStick,true,,
18,KeyBinding,Q,Q,#525252,"0,0","0,0","0,0","123,286","205,205",Drag,MainUI_JoyStick,true,,
19,KeyBinding,Alpha1,1,#525252,"1,1","1,1","1,1","-200,-320","0,0",Click,QuickItemsBar,true,,
20,KeyBinding,Alpha2,2,#525252,"1,1","1,1","1,1","-110,-320","0,0",Click,QuickItemsBar,true,,
21,KeyBinding,Alpha3,3,#525252,"1,1","1,1","1,1","-20,-320","0,0",Click,QuickItemsBar,true,,
22,KeyBinding,Tab,Tab,#FFFFFF,"0,0","0,0","0,0","0,0","0,0",ChangeTarget,,false,,
