RowIndex,Tag,Name,Text,ChildrenJSON
1,Object,NuZhuJiaoWuDangGaoShou,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoWuDangGaoShouBanTou"",""Cutout"":""0.1""}}]"
2,Object,M_cloth_2021miaomiao,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021miaomiaoBanTou"",""Cutout"":""0.1""}}]"
3,Object,W_cloth_2021miaomiao,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021miaomiaoBanTou"",""Cutout"":""0.1""}}]"
4,Object,NanZhuJiaoShaoLinGaoShou,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoShaoLinGaoShouBanTou"",""Cutout"":""0.1""}}]"
5,Object,NuZhuJiaoMuRongGaoShou,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoMuRongGaoShouBanTou"",""Cutout"":""0.1""}}]"
6,Object,NanZhuJiaoMuRongGaoShou,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoMuRongGaoShouBanTou"",""Cutout"":""0.1""}}]"
7,Object,NuZhuJiaoTaoHuaDaoGaoShou,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoTaoHuaDaoGaoShouBanTou"",""Cutout"":""0.1""}}]"
8,Object,NanZhuJiaoTaoHuaDaoGaoShou,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoFengXieShiZhuangBanTou"",""Cutout"":""0.1""}}]"
9,Object,NuZhuJiaoFengXieShiZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoFengXieShiZhuangShouBanTou"",""Cutout"":""0.1""}}]"
10,Object,NanZhuJiaoFengXieShiZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoFengXieShiZhuangBanTou"",""Cutout"":""0.1""}}]"
11,Object,NuZhuJiaoWuSeTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoWuSeTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
12,Object,NanZhuJiaoWuSeTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoWuSeTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
13,Object,NuZhuJiaoQiuJiFengShouTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoQiuJiFengShouTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
14,Object,NanZhuJiaoQiuJiFengShouTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoQiuJiFengShouTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
15,Object,NuZhuJiaoBingXueTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoBingXueTaoZhuangBanTou"",""Cutout"":""0.05""}}]"
16,Object,NanZhuJiaoBingXueTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoBingXueTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
17,Object,NuZhuJiaoQianLiJiangShanShiZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoQianLiJiangShanShiZhuangBanTou"",""Cutout"":""0.1""}}]"
18,Object,NuZhuJiaoLiChunTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NuZhuJiaoLiChunTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
19,Object,NanZhuJiaoLiChunTaoZhuang,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""NanZhuJiaoLiChunTaoZhuangBanTou"",""Cutout"":""0.1""}}]"
20,Object,W_cloth_2021fense,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021fenseBanTou"",""Cutout"":""0.1""}}]"
21,Object,M_cloth_2021fense,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021fenseBanTou"",""Cutout"":""0.1""}}]"
22,Object,W_cloth_2021bailan,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021bailanBanTou"",""Cutout"":""0.1""}}]"
23,Object,M_cloth_2021bailan,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021bailanBanTou"",""Cutout"":""0.1""}}]"
24,Object,W_cloth_2021jiuselu,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021jiuseluBanTou"",""Cutout"":""0.1""}}]"
25,Object,M_cloth_2021jiuselu,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021jiuseluBanTou"",""Cutout"":""0.1""}}]"
26,Object,W_cloth_2021hezhuti,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021hezhutiBanTou"",""Cutout"":""0.1""}}]"
27,Object,M_cloth_2021hezhuti,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021hezhutiBanTou"",""Cutout"":""0.1""}}]"
28,Object,W_cloth_2021jinfengjie,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021jinfengjieBanTou"",""Cutout"":""0.1""}}]"
29,Object,M_cloth_2021jinfengjie,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021jinfengjieBanTou"",""Cutout"":""0.1""}}]"
30,Object,M_cloth_2021zhongqiu,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021zhongqiuBanTou"",""Cutout"":""0.1""}}]"
31,Object,W_cloth_2021zhongqiu,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021zhongqiuBanTou"",""Cutout"":""0.4""}}]"
32,Object,W_cloth_2021dianfengsai,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""W_cloth_2021dianfengsaiBanTou"",""Cutout"":""0.1""}}]"
33,Object,M_cloth_2021dianfengsai,,"[{""Tag"":""Partial"",""Attributes"":{""Name"":""M_cloth_2021dianfengsaiBanTou"",""Cutout"":""0.1""}}]"
