RowIndex,Tag,ID,Name,Text,ChildrenJSON
1,Set,1,Mã Đạp Sô Vân,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_all_res"",""Value"":""25""}}]"
2,Set,2,Thương Lang Khiếu Nguyệt,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk_p"",""Value"":""5""}}]"
3,Set,3,Hoàng Tước Hý Thủy,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk_p"",""Value"":""5""}}]"
4,Set,4,Ô Đồn Vọng Nhật,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""5""}}]"
5,Set,5,Bạch Thố Ẩn Lâm,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_damage_reduce_p"",""Value"":""5""}}]"
6,Set,6,Mãnh Hổ Hám Sơn,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk_p"",""Value"":""10""}}]"
7,Set,7,Phi Ưng Tường Không,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk_p"",""Value"":""10""}}]"
8,Set,8,Cự Hùng Hao Lộ,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""10""}}]"
9,Set,9,Bôn Mã Trục Phong,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_damage_reduce_p"",""Value"":""10""}}]"
10,Set,10,Hùng Sư Nghịch Lân,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk_p"",""Value"":""20""}}]"
11,Set,11,Côn Bằng Dị Vũ,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk_p"",""Value"":""20""}}]"
12,Set,12,Huyền Quy Kỳ Huyết,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
13,Set,13,Mặc Báo Kinh Bộ,,"[{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_damage_reduce_p"",""Value"":""20""}}]"
