RowIndex,Tag,ID,Name,MaxPoints,Text,ChildrenJSON
1,Repute,1,Thiếu Lâm,5000,,
2,Repute,2,Minh Giáo,5000,,
3,Repute,3,Cái Bang,5000,,
4,Repute,4,Võ Đang,5000,,
5,Repute,5,Nga My,5000,,
6,Repute,6,Tinh Túc,5000,,
7,Repute,7,Thiên Long,5000,,
8,Repute,8,Thiên Sơn,5000,,
9,Repute,9,Tiêu Dao,5000,,
10,Repute,10,Mộ Dung,5000,,
11,Repute,11,Đường Môn,5000,,
12,Repute,12,Quỷ Cốc,5000,,
13,Repute,13,Đào Hoa,5000,,
14,Repute,99,Mạn Đà,5000,,
15,Repute,14,Tuyệt Tình,5000,,
16,Repute,15,Ác Nhân Cốc,5000,,
17,Repute,100,Đại Tống,65000,,
18,Repute,101,Trừng Ác,10000,,
19,Repute,102,Tào Vận,1000,,
20,Repute,103,Kính Hồ Phỉ Trại,1000,,
21,Repute,104,Phiêu Miễu Phong,1000,,
22,Repute,105,Thập Nhị Sát Tinh,1000,,
