RowIndex,Tag,Name,AnimationSpeed,Text,ChildrenJSON
1,Sticker,#-00,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_Star""}}]"
2,Sticker,#-01,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_VangKhoa""}}]"
3,Sticker,#-02,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_BacKhoa""}}]"
4,Sticker,#-03,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_DongKhoa""}}]"
5,Sticker,#-04,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_Vang""}}]"
6,Sticker,#-05,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_Bac""}}]"
7,Sticker,#-06,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Icon_Dong""}}]"
8,Sticker,#1,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""0""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""5""}}]"
9,Sticker,#2,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""9""}}]"
10,Sticker,#3,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""13""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""14""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""15""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""16""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""17""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""18""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""19""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""20""}}]"
11,Sticker,#4,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""20""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""21""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""22""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""23""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""24""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""25""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""26""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""27""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""28""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""29""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""30""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""31""}}]"
12,Sticker,#5,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""32""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""33""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""34""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""35""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""36""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""37""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""38""}}]"
13,Sticker,#6,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""39""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""40""}}]"
14,Sticker,#7,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""41""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""42""}}]"
15,Sticker,#8,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""43""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""44""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""45""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""46""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""47""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""48""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""49""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""50""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""51""}}]"
