RowIndex,Tag,ID,GroupID,TaskType,TaskRule,FactionID,Name,OfferDialog,CompleteDialog,RequireLevel,NextTaskID,CopySceneScriptID,Text,ChildrenJSON
1,Task,1000000,10000,0,0,-1,Sơ Nhập Giang Hồ,,"Chào mừng các hạ đã gia nhập thế giới <color=#1cab2a>Thần Long Mobile<color=#b029ff> đầu tiên các hạ hãy hoàn thành một số nhiệm vụ tân thủ để hiểu hơn về tính năng và bối cảnh của trò chơi.<br>Trong quá trình làm nhiệm vụ, các hạ có thể mở giao diện nhiệm vụ ở góc trái màn hình, biểu tượng <color=#ff7b00>Quyển Trục<color=#1cab2a> để tham khảo hướng dẫn nhiệm vụ!!!",1,10001,-1,,"[{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""-1""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""112""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""112""}},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""30504706"",""Quantity"":""1""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""100""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
2,Task,10001001,10001,0,0,-1,Vũ Khí Tân Thủ,"Các hạ đến rất đúng lúc, gần đây <color=#1cab2a>Đại Lý Thành<color=#473115> rất náo nhiệt, anh hùng hào kiệt mười môn phái đã đến rồi.<br>Các hạ không phải một vị đại hiệp sao? Võ Lâm đại hội cơ hội tốt thế này sao lại bỏ qua. Hãy mau chóng đến Đại Lý <color=#473115>Tiệm Binh Khí<color=#b029ff> tìm ông chủ <color=#473115>Bồ Lương<color=#b029ff> chọn một <color=#ff7b00>Vũ Khí<color=#1cab2a> thích hợp bắt đầu bước vào giang hồ nhé.","Bằng hữu của <color=#473115>Triệu Thiên Sư<color=#b029ff> chính là bằng hữu của tửu gia. Mới vào giang hồ phải có <color=#ff7b00>Vũ Khí<color=#1cab2a> phòng thân mới được. Tửu gia đã chuẩn bị 6 <color=#ff7b00>Vũ Khí<color=#1cab2a>, các hạ tự chọn đi, thích cái nào lấy cái đó.",2,10002,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10000""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""112""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""92""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""92""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""150""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
3,Task,10002001,10002,0,0,-1,Thực Phẩm Cơ Bản,"<color=#1cab2a>Đại Lý<color=#473115> <color=#1cab2a>Tửu Điếm<color=#b029ff> <color=#473115>Đỗ Tử Đằng<color=#b029ff>. Đỗ chủ tiệm có đặt Sài gia đây làm <color=#b029ff>Thùng Đồ Làm Bếp<color=#473115> đã hoàn thành rồi. Nhưng mấy hôm nay việc làm của <color=#1cab2a>Tiệm Vũ Khí<color=#b029ff> quá bận, không có người giao hàng cho ông ta.<br>Các hạ có thể chịu vất vả thay Sài gia đi một chuyến chăng? Mang <color=#b029ff>Thùng Đồ Làm Bếp<color=#473115> này giao tận tay <color=#473115>Đỗ Tử Đằng<color=#b029ff> giúp ta nhé.","Các hạ đến đúng lúc lắm, ta đang cần gấp <color=#b029ff>Thùng Dụng Cụ Làm Bếp<color=#473115> này!",2,10003,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10001""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""92""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""135""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""135""},""Children"":[{""Tag"":""Item"",""Attributes"":{""ItemID"":""40002110"",""Quantity"":""1""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""30101001"",""Quantity"":""10""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""250""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
4,Task,10003001,10003,0,0,-1,Phần thuốc thứ nhất,"Nấu nướng cố nhiên là quan trọng, nhưng đao kiếm vô tình, tai bay họa gửi thiệt thân không biết chừng. Khi gặp tình trạng khẩn cấp, các hạ cần tiên đơn cứu mạng hơn là món ngon vừa miệng.<br>Việc này ta không được chuyên sâu bằng lão hàng xóm <color=#473115>Lô Tam Thất<color=#b029ff> đâu. Các hạ có thể đến <color=#1cab2a>Tiệm Dược<color=#b029ff> đối diện <color=#1cab2a>Tửu Điếm<color=#b029ff> gặp <color=#473115>Lô Tam Thất<color=#b029ff> mà hỏi.","Không ngờ các hạ có hứng thú sâu sắc như vậy với y đạo, được đàm đạo với các hạ thật thoải mái. Chỗ <color=#b029ff>Dược Phẩm<color=#473115> này các hạ hãy chọn lấy một, hãy coi đó là món quà diện kiến ta tặng các hạ.",3,10004,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10002""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""135""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""138""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""138""}},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""30001001"",""Quantity"":""5""}},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""30003001"",""Quantity"":""5""}},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""30002001"",""Quantity"":""5""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""250""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
5,Task,10004001,10004,0,0,-1,Phòng Cụ Tân Thủ,"Ta trông thấy trên người các hạ còn thiếu nhiều trang bị cần thiết, hãy đến gặp <color=#473115>Chủ Tiệm Phòng Cụ<color=#b029ff>, ông ấy có cửa hàng chuyên buôn bán trang bị phòng cụ tại phía tây thành.","Phòng cụ là vật phẩm thiết yếu, bản đồ dã ngoại nguy hiểm rình rập, có thể ập đến tấn công Các hạ bất cứ lúc nào. Để giảm bớt rủi kho gặp phải khi hành tẩu bản đồ dã ngoại thì Các hạ nên trang bị cho bản thân nhưng phòng cụ tốt và phù hợp với sức mạnh của mình.",3,10005,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10003""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""138""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""97""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""97""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""450""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
6,Task,10005001,10005,0,0,-1,Trang Sức Tân Thủ,"Các hạ có thể tìm đến <color=#473115>Tiểu Hoa<color=#b029ff>, cố ấy là bậc thầy trong chế tạo những trang sức quý hiếm.","Ngoài trang bị ngoài thân, trang sức cũng mang lại mốt sức mạnh nhất định cho Các Hạ, tại đây ta có bán rất nhiều loại trang sức tinh xảo, Các hạ có thể lựa chọn trang sức phù hợp cho mình.",4,10006,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10004""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""97""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""99""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""99""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""550""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
7,Task,10006001,10006,0,0,-1,Trân Thú Đầu Tiên,"Ta xem các hạ một mình chạy lui chạy tới trong thành, trông rất cô đơn, có phải lại đang nhớ <color=#b029ff>Phiêu Phiêu Thố<color=#473115> của <color=#473115>Vân Phiêu Phiêu<color=#b029ff>? Đường còn dài lắm, có muốn <color=#b029ff>Phiêu Phiêu Thố<color=#473115> đáng yêu kia bầu bạn cùng không? Các hạ hãy đến chỗ <color=#1cab2a>Trùng Điểu Phường<color=#b029ff> <color=#473115>Vân Phiêu Phiêu<color=#b029ff> người ấy sẽ nói cho các hạ biết phải làm gì.","Ta không tùy tiện với người bình thường kết giao bằng hữu, nhưng các hạ là bằng hữu của Tứ Đại Thiện Nhân. Vậy ta sẽ nói cho các hạ biết một vài điều hay.",4,10007,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10005""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""99""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""141""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""141""}},{""Tag"":""AwardPet"",""Attributes"":{""PetID"":""559""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""660""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
8,Task,10007001,10007,9,0,-1,Bạn Đồng Hành Trung Thành,Các hạ hãy mở giao diện <color=#473115>Trân Thú<color=#b029ff> và xuất chiến <color=#b029ff>Phiêu Phiêu Thố<color=#473115>.Trân thú <color=#b029ff>Phiêu Phiêu Thố<color=#473115> có thể giúp ích rất nhiều cho Các hạ trong quá trình hành tẩu võ lâm.,"Chính là tiểu thố tử này. Xem ra Các hạ đã nắm vững về <color=#b029ff>Trân Thú<color=#473115>, sau này các hạ có thể bắt thêm rất nhiều <color=#b029ff>Trân Thú<color=#473115> để bầu bạn khi hành tẩu giang hồ. Nhưng nhất định là phải nhớ, loài vật nhỏ cũng rất hiểu biết, các hạ tốt với nó, nó mới tốt với các hạ, sau này các hạ sẽ rõ. Ta có một vị bằng hữu lâu năm, hãy đến tìm ông ta một chuyến xem sao.",5,10008,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10006""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""141""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""141""}},{""Tag"":""CallFightPet"",""Attributes"":{""PetID"":""-1""}},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""30603001"",""Quantity"":""20""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""750""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
9,Task,10008001,10008,0,0,-1,Quen Biết Bằng Hữu Mới,"Muốn trở thành võ lâm chí tôn, chỉ dựa vào võ công là chưa đủ. Ngươi cần có trí tuệ và kiến thức sâu rộng, cuối cùng mới lĩnh hội được sở trường của mọi người, trở nên văn võ song toàn? Bằng hữu của ta tên <color=#473115>Tiền Long<color=#b029ff> , người đời thường gọi là <color=#473115>Bách Hiểu Sinh<color=#b029ff> có thể giúp ngươi đấy. Hãy đến tìm huynh ấy để học hỏi thêm kiến thức giang hồ.","Các hạ là bằng hữu của một trong <color=#473115>Tứ Đại Thiện Nhân<color=#b029ff> thì cũng là bằng hữu của ta, ta sẽ chia sẻ cho người mốt số điều cần thiết khi hành tẩu giang hồ.",5,10009,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10007""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""141""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""131""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""2"",""NPCID"":""131""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""950""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
10,Task,10009001,10009,0,0,-1,Vô Lượng Trà Thương,"Hành tẩu võ lâm không thể không có bằng hữu. Ta có quen thương nhân trà vô cùng nổi tiếng ở vùng này. Các hạ hãy đến Vô Lượng Sơn tìm gặp ông ta một chuyến xem sao. Cứ nói là các hạ do Tiền Long giới thiệu đến, ông ấy sẽ nhiệt tình tiếp đón các hạ.","À, Tiền Long, một vị bằng hữu thân thiết của ta. Đã lâu không gặp rồi. Nào, lại đây ta sẽ cho các hạ thưởng thức loại trà đặc sản vùng này, mà Tiền Long luôn luôn tấm tắc ngợi khen mỗi lần thưởng thức.",6,10010,-1,,"[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10008""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""2"",""NPCID"":""131""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""19"",""NPCID"":""762""}},{""Tag"":""Delivery"",""Attributes"":{""MapID"":""19"",""NPCID"":""762""}},{""Tag"":""AwardExp"",""Attributes"":{""Value"":""850""}},{""Tag"":""AwardBoundMoney"",""Attributes"":{""Value"":""175""}}]"
