RowIndex,Tag,MapID,Name,Icon,Position,AllowQuickPath,Description,Text,ChildrenJSON
1,Location,2,Đại Lý,Thanh_8,"900,480",true,Thành Đại Lý,,
2,Location,19,Vô Lượng Sơn,Diadiem_20,"1050,440",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 1-10<br>Loại quái vật gồm:<br>Cao Sơn Bạch Viên, Đại Hoàng Phong, Thiểm Điện Báo, Sơn Thù, Lô Vi Thảo Nhân.",,
3,Location,11,Lăng Ba Động,Diadiem_19,"1050,530",true,Môn Phái<br>Tổng đà phái Tiêu Dao,,
4,Location,57,Thương Sơn,Diadiem_2,"600,510",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 40-46<br>Loại quái vật gồm:<br>Tuyết Lang, Soa Y Dã Nhân, Lang Tộc Đầu Nhân, Lang Tộc Dũng Sĩ, Lang Tộc Thần Hán, Lang Tộc Thổ Ty.",,
5,Location,59,Dã Nhân Cốc,Nha_5,"600,580",true,"Từ Thương Sơn tiến vào<br>Quái vật đẳng cấp 40-45<br>Loại quái vật gồm:<br>Soa Y Dã Nhân, Lang Tộc Đầu Nhân, Lang Tộc Dũng Sĩ, Lang Tộc Thần Hán, Lang Tộc Thổ Ty, Tuyết Lang.",,
6,Location,10,Thiên Long Tự,Diadiem_18,"1040,350",true,Môn Phái<br>Tổng đà phái Thiên Long,,
7,Location,65,Diêm Hồ,Diadiem_2,"580,340",true,"Diêm Hồ: <br>Quái vật đẳng cấp 84-89 <br>Loại quái vật gồm: <br>Diêm Hồ Hùng, Diêm Hồ Ngạc Ngư <br>Oạt Diêm Mộc Nhân, Oạt Diêm Khổ Công <br>Yển Sư Giám Công, Yển Sư Thủ Vệ.",,
8,Location,63,Nam Chiêu,Diadiem_2,"730,340",true,"Toàn cảnh dã ngoại<br>Quái vật đẳng cấp 84-89<br>Chủng loại quái vật:<br>Hắc Chiểu Báo, Đằng Giáp Dũng Sĩ, Tùng Lâm Phong, Đằng Giáp Tặc, Hắc Miêu Chiến Sĩ.",,
9,Location,64,Miêu Cương,TrongTrot_2,"860,280",true,"Toàn cảnh dã ngoại<br>Quái vật đẳng cấp 96-101<br>Chủng loại quái vật:<br>Ách Tu La, Vĩnh Dạ Tu La, Vạn Kiếp Tu La, A Tỳ Tu La, Chiểu Trạch Ngạc Ngư.",,
10,Location,61,Ngọc Khê,Diadiem_2,"810,390",true,"Toàn cảnh dã ngoại<br>Quái vật đẳng cấp 70-76<br>Chủng loại quái vật:<br>Long Huyết Thạch Nhân, Kịch Độc Lang Thù, Nữ Oa Thạch Nhân,Vân Mẫu Thạch Nhân, Yển Sư Hộ Pháp, Đại Yển Sư.",,
