ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,MapID,NPCID,PosX,PosY,TemplatesJSON,Text,Timeout,Seconds,X,Y,Count,Radius,Desc
ThuyLao,Thủy Lao,92,Thuỷ Lao,1,enter,Vào Thủy Lao,6,retry,,,1,GoToNPC,4,650,10990,6466,,,,,,,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,1,enter,Vào Thủy Lao,6,retry,,,2,InteractNPC,,650,,,,,,,,,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,1,enter,Vào Thủy Lao,6,retry,,,3,SelectDialog,,,,,,Bình Định Thủy Lao Tạo Phản,6,,,,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,1,enter,Vào Thủy Lao,6,retry,,,4,WaitMapChange,92,,,,,,3,,,,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,1,enter,Vào Thủy Lao,6,retry,,,5,Wait,,,,,,,,2,,,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,2,quai1,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,2688,1312,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,2,quai1,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,3,boss1,Tiêu Vô Thường,120,retry,,,1,GoTo,,,,,,,,,2688,1312,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,3,boss1,Tiêu Vô Thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1650"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1651"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1652"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1653"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1654"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1655"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1656"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1657"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1658"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1659"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Tiêu Vô Thường
ThuyLao,Thủy Lao,92,Thuỷ Lao,4,quai2,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,3808,1312,,,
