ScenarioID,ScenarioName,DungeonMapID,StepIndex,StepID,StepDesc,ActionIndex,ActionType,MapID,NPCID,X,Y,PosX,PosY,Count,Radius,Text,Timeout,Seconds,NextStep
ThuyLao,Thủy Lao,92,1,enter,Vào Thủy Lao,1,GoToNPC,4,650,,,10990,6466,,,,,,
ThuyLao,Thủy Lao,92,1,enter,Vào Thủy Lao,2,InteractNPC,,650,,,,,,,,,,
ThuyLao,Thủy Lao,92,1,enter,Vào Thủy Lao,3,SelectDialog,,,,,,,,,Bình Định Thủy Lao Tạo Phản,6,,
ThuyLao,Thủy Lao,92,1,enter,Vào Thủy Lao,4,WaitMapChange,92,,,,,,,,,3,,
ThuyLao,Thủy Lao,92,1,enter,Vào Thủy Lao,5,Wait,,,,,,,,,,,2,
ThuyLao,Thủy Lao,92,2,quai1,Phạm nhân bình thường,1,GoTo,,,2688,1312,,,,,,,,
ThuyLao,Thủy Lao,92,2,quai1,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,3,boss1,Tiêu Vô Thường,1,GoTo,,,2688,1312,,,,,,,,
ThuyLao,Thủy Lao,92,3,boss1,Tiêu Vô Thường,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,4,quai2,Phạm nhân bình thường,1,GoTo,,,3808,1312,,,,,,,,
ThuyLao,Thủy Lao,92,4,quai2,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,5,boss2,Vân Trung Nhạn,1,GoTo,,,3808,1312,,,,,,,,
ThuyLao,Thủy Lao,92,5,boss2,Vân Trung Nhạn,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,6,quai3,Phạm nhân bình thường,1,GoTo,,,1568,1280,,,,,,,,
ThuyLao,Thủy Lao,92,6,quai3,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,7,boss3,Mãng Cái Thám Tử,1,GoTo,,,1568,1280,,,,,,,,
ThuyLao,Thủy Lao,92,7,boss3,Mãng Cái Thám Tử,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,8,quai4,Phạm nhân bình thường,1,GoTo,,,1312,2240,,,,,,,,
ThuyLao,Thủy Lao,92,8,quai4,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,9,boss4,Điền Doãn,1,GoTo,,,1312,2240,,,,,,,,
ThuyLao,Thủy Lao,92,9,boss4,Điền Doãn,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,10,quai5,Phạm nhân bình thường,1,GoTo,,,1312,3424,,,,,,,,
ThuyLao,Thủy Lao,92,10,quai5,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,11,boss5,Bách Hoa Sát,1,GoTo,,,1312,3424,,,,,,,,
ThuyLao,Thủy Lao,92,11,boss5,Bách Hoa Sát,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,12,quai6,Phạm nhân bình thường,1,GoTo,,,1280,4672,,,,,,,,
ThuyLao,Thủy Lao,92,12,quai6,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,13,boss6,Vô Phương Hoà Thượng,1,GoTo,,,1280,4672,,,,,,,,
ThuyLao,Thủy Lao,92,13,boss6,Vô Phương Hoà Thượng,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,14,quai7,Phạm nhân bình thường,1,GoTo,,,2272,4800,,,,,,,,
ThuyLao,Thủy Lao,92,14,quai7,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,15,boss7,Cách Liệt Mã,1,GoTo,,,2272,4800,,,,,,,,
ThuyLao,Thủy Lao,92,15,boss7,Cách Liệt Mã,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,16,quai8,Phạm nhân bình thường,1,GoTo,,,3424,4832,,,,,,,,
ThuyLao,Thủy Lao,92,16,quai8,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,17,boss8,Hô Diên Bình,1,GoTo,,,3424,4832,,,,,,,,
ThuyLao,Thủy Lao,92,17,boss8,Hô Diên Bình,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,18,quai9,Phạm nhân bình thường,1,GoTo,,,4608,4832,,,,,,,,
ThuyLao,Thủy Lao,92,18,quai9,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,19,boss9,Diên Kiên,1,GoTo,,,4608,4832,,,,,,,,
ThuyLao,Thủy Lao,92,19,boss9,Diên Kiên,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,20,quai10,Phạm nhân bình thường,1,GoTo,,,4768,3840,,,,,,,,
ThuyLao,Thủy Lao,92,20,quai10,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,21,boss10,Hứa Đạo Nhân,1,GoTo,,,4768,3840,,,,,,,,
ThuyLao,Thủy Lao,92,21,boss10,Hứa Đạo Nhân,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,22,quai11,Phạm nhân bình thường,1,GoTo,,,4800,2720,,,,,,,,
ThuyLao,Thủy Lao,92,22,quai11,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,23,boss11,Tiêu Vu Nhi,1,GoTo,,,4800,2720,,,,,,,,
ThuyLao,Thủy Lao,92,23,boss11,Tiêu Vu Nhi,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,24,quai12,Phạm nhân bình thường,1,GoTo,,,4832,1376,,,,,,,,
ThuyLao,Thủy Lao,92,24,quai12,Phạm nhân bình thường,2,Kill,,,,,,,6,800,,,,
ThuyLao,Thủy Lao,92,25,boss12,Tào Song,1,GoTo,,,4832,1376,,,,,,,,
ThuyLao,Thủy Lao,92,25,boss12,Tào Song,2,Kill,,,,,,,1,800,,,,
ThuyLao,Thủy Lao,92,26,finish,hoàn thành,1,Notify,,,,,,,,,Hoàn thành Thủy Lao!,,,
Q1_ToChau,Biên Giới Tống Liêu,93,1,enter,Biên Giới Tống Liêu,1,GoToNPC,4,674,,,4400,8090,,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,1,enter,Biên Giới Tống Liêu,2,InteractNPC,,674,,,,,,,,,,
