ScenarioID,ScenarioName,StepIndex,StepID,StepDesc,MonsterID,LevelRange,MonsterName,MonsterResName,MonsterType
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2490,10-19,Phạm nhân bình thường,ShuiGuiTanZi,Normal
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2491,20-29,Phạm nhân bình thường,ShuiGuiTanZi,Normal
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2492,30-39,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2493,40-49,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2494,50-59,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2495,60-69,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2496,70-79,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2497,80-89,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2498,90-99,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,2,quai1,Phạm nhân bình thường,2499,100-999,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1650,10-19,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1651,20-29,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1652,30-39,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1653,40-49,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1654,50-59,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1655,60-69,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1656,70-79,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1657,80-89,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1658,90-99,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,3,boss1,Tiêu Vô Thường,1659,100-999,Tiêu Vô Thường,ZhanDouLiaoBing,Boss
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2490,10-19,Phạm nhân bình thường,ShuiGuiTanZi,Normal
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2491,20-29,Phạm nhân bình thường,ShuiGuiTanZi,Normal
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2492,30-39,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2493,40-49,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2494,50-59,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2495,60-69,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2496,70-79,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2497,80-89,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2498,90-99,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,4,quai2,Phạm nhân bình thường,2499,100-999,Phạm nhân bình thường,ShuiGuiTanZi,Hater
ThuyLao,Thủy Lao,5,boss2,Vân Trung Nhạn,1660,10-19,Vân Trung Nhạn,QinJiaZhaiJiaoTou,Boss
ThuyLao,Thủy Lao,5,boss2,Vân Trung Nhạn,1661,20-29,Vân Trung Nhạn,QinJiaZhaiJiaoTou,Boss
ThuyLao,Thủy Lao,5,boss2,Vân Trung Nhạn,1662,30-39,Vân Trung Nhạn,QinJiaZhaiJiaoTou,Boss
ThuyLao,Thủy Lao,5,boss2,Vân Trung Nhạn,1663,40-49,Vân Trung Nhạn,QinJiaZhaiJiaoTou,Boss
ThuyLao,Thủy Lao,5,boss2,Vân Trung Nhạn,1664,50-59,Vân Trung Nhạn,QinJiaZhaiJiaoTou,Boss
ThuyLao,Thủy Lao,5,boss2,Vân Trung Nhạn,1665,60-69,Vân Trung Nhạn,QinJiaZhaiJiaoTou,Boss
