ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,NPCID,TemplatesJSON,Text,Timeout,MapID,Seconds,X,Y,Count,Radius,Desc,PosX,PosY
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,1,enter,Biên Giới Tống Liêu,6,retry,,,2,InteractNPC,674,,,,,,,,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,1,enter,Biên Giới Tống Liêu,6,retry,,,3,SelectDialog,,,Một tên cũng không thể thoát,10,,,,,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,1,enter,Biên Giới Tống Liêu,6,retry,,,4,WaitMapChange,,,,3,93,,,,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,1,enter,Biên Giới Tống Liêu,6,retry,,,5,Wait,,,,,,2,,,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,2,quai1,Ngụy Tống Binh,120,retry,,,1,GoTo,,,,,,,1735,2478,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,2,quai1,Ngụy Tống Binh,120,retry,,,2,Kill,,"[{""MonsterID"":""4060"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4061"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4062"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4063"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4064"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4065"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4066"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4067"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4068"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4069"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,50,800,Ngụy Tống Binh,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,3,boss1,Ngụy Tống Quân Đô Thống,120,retry,,,1,GoTo,,,,,,,1760,1984,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,3,boss1,Ngụy Tống Quân Đô Thống,120,retry,,,2,Kill,,"[{""MonsterID"":""4090"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4091"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4092"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4093"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4094"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4095"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4096"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4097"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4098"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4099"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Ngụy Tống Quân Đô Thống,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,4,quai10,Đào Thoán Phỉ Loại,120,retry,,,1,GoTo,,,,,,,1352,1348,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,4,quai10,Đào Thoán Phỉ Loại,120,retry,,,2,Kill,,"[{""MonsterID"":""4070"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4071"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4072"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4073"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4074"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4075"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4076"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4077"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4078"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4079"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,10,800,Đào Thoán Phỉ Loại,,
