ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,Text,TemplatesJSON,MapID,NPCID,PosX,PosY,Timeout,Seconds,X,Y,Count,Radius,Desc
TucCau_1,Túc Cầu (thường),103,Mẫu Đan Uyển,4,finish,hoàn thành,30,skip,,,1,Notify,Hoàn thành Túc Cầu!,,,,,,,,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,1,enter,Túc Cầu,6,retry,,,1,GoToNPC,,,4,718,9300,9170,,,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,1,enter,Túc Cầu,6,retry,,,2,InteractNPC,,,,718,,,,,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,1,enter,Túc Cầu,6,retry,,,3,SelectDialog,Tham gia Túc Cầu (nhanh),,,,,,3,,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,1,enter,Túc Cầu,6,retry,,,4,WaitMapChange,,,103,,,,6,,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,1,enter,Túc Cầu,6,retry,,,5,Wait,,,,,,,,2,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,2,zone1,Tiêu diệt túc cầu,120,retry,,,1,Wait,,,,,,,,25,,,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,2,zone1,Tiêu diệt túc cầu,120,retry,,,2,GoTo,,,,,,,,,1312,3072,,,
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,2,zone1,Tiêu diệt túc cầu,120,retry,,,3,Kill,,"[{""MonsterID"":""3680"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""3681"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""3682"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""3683"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""3684"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""3685"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""3686"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""3687"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""3688"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""3689"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""3690"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""3691"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""3692"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""3693"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""3694"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""3695"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""3696"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""3697"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""3698"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""3699"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""3700"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""3701"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""3702"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""3703"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""3704"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""3705"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""3706"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""3707"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""3708"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""3709"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""3710"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""3711"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""3712"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""3713"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""3714"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""3715"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""3716"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""3717"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""3718"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""3719"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""9160"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""9161"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""9162"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""9163"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""9164"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""9165"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""9166"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""9167"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""9168"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""9169"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""9170"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""9171"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""9172"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""9173"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""9174"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""9175"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""9176"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""9177"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""9178"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""9179"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""9180"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""9181"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""9182"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""9183"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""9184"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""9185"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""9186"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""9187"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""9188"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""9189"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""9190"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""9191"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""9192"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""9193"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""9194"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""9195"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""9196"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""9197"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""9198"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""9199"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,,,200,800,Tiêu diệt túc cầu
TucCau_2,Túc Cầu (nhanh),103,Mẫu Đan Uyển,3,boss,Tôn Mỹ Mỹ,180,retry,,,1,GoTo,,,,,,,,,1952,2272,,,
