ID,Name,Type,EquipPoint,IsWeaponPosition,Level,FactionID,BoundRule,BasePrice,SellPrice,Durability,Identifiable,Star,BuffID,SetID,DurationHour,BaseAttributesJSON,AttributesJSON,Description
10146407,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,72,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,"<color=#33ff99>(Hạn sử dụng 3 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146408,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,168,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,"<color=#33ff99>(Hạn sử dụng 7 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146409,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,360,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,"<color=#33ff99>(Hạn sử dụng 15 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146410,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,720,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,"<color=#33ff99>(Hạn sử dụng 30 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146411,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,2160,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,"<color=#33ff99>(Hạn sử dụng 90 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146412,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,4320,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,"<color=#33ff99>(Hạn sử dụng 180 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146413,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,-1,"[{""Symbol"":""magic_movespeed_p"",""Value"":""80""}]",,Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)
10146414,Thú Cưỡi: Hoa Nguyệt Dẫn,41,8,false,10,-1,2,4,4,150,false,1,-1,-1,-1,,,"<color=#33ff99>(Hạn sử dụng 30 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Hoa Nguyệt Dẫn<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146415,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,24,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 1 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146416,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,72,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 3 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146417,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,168,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 7 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146418,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,360,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 15 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146419,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,720,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 30 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146420,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,2160,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 90 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146421,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,4320,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,"<color=#33ff99>(Hạn sử dụng 180 ngày, tính từ khi bắt đầu mua)#r<color=#FFFFFF>Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)"
10146422,Thú Cưỡi: Ngự Phong Hành,41,8,false,10,-1,1,4,4,150,false,1,-1,-1,-1,"[{""Symbol"":""magic_movespeed_p"",""Value"":""85""}]",,<color=#ffff00>[Vật Phẩm Xa Xỉ] #Triệu hồi <color=#00FF00>Thú Cưỡi: Ngự Phong Hành<color=#FFFFFF>.#r<color=#00FF00>(Nhấn để trang bị)
