EquipPoint,Type,Count,IsWeaponPosition
0,0,572,true
0,1,574,true
0,100,185,true
0,12,6,true
0,16,203,true
0,17,191,true
0,2,609,true
0,3,581,true
0,4,573,true
0,5,582,true
0,6,203,true
0,7,203,true
0,8,203,true
1,10,1676,false
12,23,544,false
14,14,1234,false
15,15,1236,false
16,24,3686,false
17,55,6,false
18,24,1,false
18,56,2,false
19,57,1,false
2,13,1620,false
20,58,5,false
21,59,32,false
22,0,25,false
22,1,167,false
22,16,15,false
22,17,11,false
22,2,447,false
22,3,15,false
22,4,45,false
22,5,45,false
22,6,10,false
22,7,10,false
22,8,5,false
3,12,1616,false
4,11,1624,false
5,21,545,false
6,13,1,false
6,22,713,false
7,20,474,false
7,22,1,false
8,12,213,false
8,41,2053,false
