ID,Name,ItemLevel,RequireLevel,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ScriptID,TypeDesc
20200000,Ngân Phiếu,1,1,1,false,false,false,15000,-1,-1,21007,Ngân phiếu
20200001,Kim Nguyên Bảo Phiếu,1,1,1,false,false,false,15000,-1,-1,21007,Kim nguyên bảo phiếu
20200002,Ngân Phiếu (Giao Tử),1,1,1,false,false,false,15000,-1,-1,21007,Ngân phiếu
20200003,Kim Nguyên Bảo Phiếu (Khóa),1,1,1,false,false,false,15000,-1,-1,21007,Kim nguyên bảo phiếu
20310000,Yến Huyền Ngọc,1,1,1,true,true,true,15000,-1,-1,-1,Vật phẩm đặc thù
20310164,Linh Hồn Toái Phiến - Xích,1,1,1,true,true,false,15000,-1,-1,9999994,Vật phẩm đặc thù
20310165,Linh Hồn Toái Phiến - Tranh,1,1,1,true,true,false,15000,-1,-1,9999994,Vật phẩm đặc thù
20310166,Linh Hồn Toái Phiến - Hoàng,1,1,1,true,true,false,15000,-1,-1,9999994,Vật phẩm đặc thù
20310182,Long Hồn Ngọc,1,10,1,true,true,true,15000,-1,-1,-1,Vật liệu đặc thù
20310183,Linh Thú Tinh Phách,1,1,1,true,true,true,50,-1,-1,-1,Vật liệu đặc thù
20310184,Chinh Nam Tiên Phong Ấn,1,1,1,true,true,true,15000,-1,-1,-1,Vật phẩm đặc thù
20310186,Cổ Mộ Hành Công Yếu Quyết,1,10,1,true,true,true,15000,-1,-1,9999984,Đạo cụ đặc thù
20310187,Toàn Chân Hành Công Yếu Quyết,1,10,1,true,true,true,15000,-1,-1,9999984,Đạo cụ đặc thù
30000000,Bảo Tàng Đồ,1,1,31,true,true,false,1,-1,-1,21001,Bảo tàng đồ
30001000,Thương Nhân Ngân Phiếu,1,1,1,false,false,true,1,-1,-1,-1,Thương Nhân Ngân Phiếu
30008001,Đường đậu xuất sư,1,1,25,true,false,true,1,-1,-1,-1,Vật phẩm xuất sư
30008018,Thanh Tâm Đan,5,10,1,true,false,false,15000,-1,-1,21005,Dược phẩm đặc biệt
30008004,Đại Tẩy Tủy Đan,5,10,1,true,false,false,15000,-1,-1,22009,Dược phẩm đặc biệt
30008007,Thổ Linh Châu,10,10,1,true,false,false,1,10,-1,21002,Đạo cụ đặc thù
30008010,Âm Kim Bảo Sương,10,1,1,true,true,false,15000,-1,-1,9999999,Đạo cụ đặc thù
30008012,Âm Kim Thược Thi Xuyến,10,10,10,true,false,false,1,99,-1,-1,Đạo cụ đặc thù
30008030,Thổ Độn Châu,10,10,1,true,false,false,1,10,-1,21002,Đạo cụ đặc thù
30308000,Bí tịch: Dịch Cân Kinh,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308001,Bí tịch: Cửu Dương Thiên Thư,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308002,Bí tịch: Đả Cẩu Bổng Pháp,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308003,Bí tịch: Tiên Thiên Công,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308004,Bí tịch: Cửu Âm Thiên Thư,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308005,Bí tịch: Hóa Công Đại Pháp,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308006,Bí tịch: Lục Mạch Thần Kiếm,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308007,Bí tịch: Sinh Tử Phù,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308008,Bí tịch: Bắc Minh Thần Công,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
30308009,Bí tịch: Tinh Tuyền Kiếm Điển,1,35,1000,true,true,false,15000,-1,-1,9999997,Bí tịch môn phái
