ID,Name,ItemLevel,RequireLevel,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ScriptID,TypeDesc
20101001,Bạch Anh,1,1,10,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101002,Bồ Hoàng,1,1,10,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101003,Xuyên Bối,2,2,20,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101004,Nguyên Hồ,2,2,20,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101005,Tỳ Bà,3,3,30,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101006,Cam Thảo,3,3,30,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101007,Kim Ngân Hoa,3,3,30,true,true,false,15000,-1,-1,-1,Sơ cấp dược tài
20101008,Hoàng Cầm,4,4,40,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101009,Cẩu Kỷ,4,4,40,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101010,Trầm Hương,4,4,40,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101011,Đỗ Trọng,5,5,50,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101012,Thương Thuật,5,5,50,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101013,Phục Linh,5,5,50,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101014,Phòng Phong,6,6,60,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101015,Hương Nhu,6,6,60,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101016,Hoàng Liên,6,6,60,true,true,false,15000,-1,-1,-1,Trung cấp dược tài
20101017,Đương Qui,7,7,70,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101018,Quế Tâm,7,7,70,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101019,Hương Phụ,7,7,70,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101020,Hoắc Hương,8,8,80,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101021,Hồi Thần Thảo,8,8,80,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101022,Thủ Ô,8,8,80,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101023,Đông Trùng Hạ Thảo,9,9,90,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101024,Long Quì Tử,9,9,90,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101025,Tượng Bối,10,10,100,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101026,Nhân Sâm,10,10,100,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101027,Linh Chi,11,11,110,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101028,Tuân Thảo,11,11,110,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101029,Liên Tử,12,12,120,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20101030,Khô Mộc Xuân,12,12,120,true,true,false,15000,-1,-1,-1,Cao cấp dược tài
20102001,Thảo Ngư,1,1,9,true,true,false,15000,-1,-1,-1,Sơ cấp ngư
20102002,Tức Ngư,2,2,10,true,true,false,15000,-1,-1,-1,Sơ cấp ngư
20102003,Liên Ngư,3,3,25,true,true,false,15000,-1,-1,-1,Sơ cấp ngư
20102004,Bình Ngư,4,4,46,true,true,false,15000,-1,-1,-1,Trung cấp ngư
20102005,Thiện Ngư,5,5,70,true,true,false,15000,-1,-1,-1,Trung cấp ngư
20102006,Hắc Ngư,6,6,100,true,true,false,15000,-1,-1,-1,Trung cấp ngư
20102007,Đấu Ngư,7,7,138,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102008,Xương Ngư,8,8,175,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102009,Ngân Ngư,9,9,216,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102010,Khuê Ngư,10,10,263,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102011,Cốt Thiệt Ngư,11,11,265,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102012,Lục Tuyến Ngư,12,12,294,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102013,Thanh Ngư,1,1,9,true,true,false,15000,-1,-1,-1,Sơ cấp ngư
20102014,Tiễn Ngư,2,2,10,true,true,false,15000,-1,-1,-1,Sơ cấp ngư
20102015,Lư Ngư,3,3,25,true,true,false,15000,-1,-1,-1,Sơ cấp ngư
20102016,Biển Đầu Ngư,4,4,46,true,true,false,15000,-1,-1,-1,Trung cấp ngư
20102017,Đầu Lực Ngư,5,5,70,true,true,false,15000,-1,-1,-1,Trung cấp ngư
20102018,Thu Đao Ngư,6,6,100,true,true,false,15000,-1,-1,-1,Trung cấp ngư
20102019,Soa Ngư,7,7,138,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102020,Quang Bối Ngư,8,8,175,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102021,Câu Ngư,9,9,216,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102022,Bãi Kỳ Ngư,10,10,263,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102023,Trân Châu Ngư,11,11,265,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20102024,Văn Xương Ngư,12,12,294,true,true,false,15000,-1,-1,-1,Cao cấp ngư
20103001,Đồng Khoáng Thạch,1,1,10,true,true,false,15000,-1,-1,-1,Sơ cấp khoáng thạch
20103002,Thiết Khoáng Thạch,2,2,20,true,true,false,15000,-1,-1,-1,Sơ cấp khoáng thạch
20103003,Ngân Khoáng Thạch,3,3,30,true,true,false,15000,-1,-1,-1,Sơ cấp khoáng thạch
20103004,Hàn Thiết Khoáng Thạch,4,4,40,true,true,false,15000,-1,-1,-1,Trung cấp khoáng thạch
20103005,Kim Khoáng Thạch,5,5,50,true,true,false,15000,-1,-1,-1,Trung cấp khoáng thạch
20103006,Huyền Thiết Khoáng Thạch,6,6,60,true,true,false,15000,-1,-1,-1,Trung cấp khoáng thạch
20103007,Thủy Tinh Khoáng Thạch,7,7,70,true,true,false,15000,-1,-1,-1,Cao cấp khoáng thạch
20103008,Phỉ Thúy Khoáng Thạch,8,8,80,true,true,false,15000,-1,-1,-1,Cao cấp khoáng thạch
20103009,Chấn Vũ Khoáng Thạch,9,9,90,true,true,false,15000,-1,-1,-1,Cao cấp khoáng thạch
20103010,Long Huyết Khoáng Thạch,10,10,100,true,true,false,15000,-1,-1,-1,Cao cấp khoáng thạch
20103011,Phụng Huyết Khoáng Thạch,11,11,110,true,true,false,15000,-1,-1,-1,Cao cấp khoáng thạch
20103012,Nữ Oa Thạch,12,12,120,true,true,false,15000,-1,-1,-1,Cao cấp khoáng thạch
20107001,Thảo Bì Cách,1,1,8,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107002,Thảo Bì Mao,1,1,9,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107003,Khinh Bì Cách,2,2,9,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107004,Khinh Bì Mao,2,2,22,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107005,Tiểu Bì Cách,3,3,41,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107006,Tiểu Bì Mao,3,3,41,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107007,Trung Bì Cách,4,4,63,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107008,Trung Bì Mao,4,4,63,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
20107009,Đại Bì Cách,5,5,63,true,true,false,15000,-1,-1,-1,Vật liệu may mặc
