TypeDesc,Count
<color=#00d000>Bí Tịch Sơ Cấp,11
<color=#2980ff>Bí Tịch Hy Hữu,11
<color=#cc33cc>Truyền Thế Bí Tịch,6
<color=#ff6600>Bí Tịch Tuyệt Thế,6
Biến thân phù,37
Bí kíp,87
Bí tịch môn phái,16
Bí tịch môn phái thất truyền,16
Bạn sinh thảo dược,12
Bảo tàng đồ,1
Cao cấp dược tài,14
Cao cấp khoáng thạch,6
Cao cấp ngư,12
Chiêu hồn đạo cụ,1
Chân Nguyên,1080
Chìa khóa,1
Dược liệu hiếm,1
Dược phẩm đặc biệt,2
Giáng Hàng Thư,1
Hoa Mãng,5
Hoàng sắc điêu văn,160
Hôn lễ thỉnh thiệp,3
Hồng sắc điêu văn,70
Hỗ trợ tân thủ,1
Hộp quà sự kiện,4
Khoáng Thạch đặc biệt,1
Kim nguyên bảo phiếu,20
Kỳ Vật,5
Kỳ vật,37
Kỳ vật giải đấu,3
Kỳ vật môn phái,4
Kỳ vật sự kiện,217
Kỳ vật sự kiệni,4
Lam sắc điêu văn,80
Nguyên liệu đặc thù,22
Ngân Phiếu,1
Ngân phiếu,2
Nhiệm vụ nguyên liệu,8
Nhiệm vụ đạo cụ,14
Phiếu Kim nguyên bảo,1
Phiếu vàng,10
Phối sức thời trang,12
Phụ thân bảo hạp,27
Sơ cấp dược tài,7
Sơ cấp khoáng thạch,3
Sơ cấp ngư,6
Số sách,1
Sự Kiện Đặc Biệt,4
Thuốc Kiện Thể,3
Thương Nhân Ngân Phiếu,1
Thần Long Điểm Nhãn,6
Thẻ Tài Phú,1
Tinh Thông,4
Trung cấp dược tài,9
Trung cấp khoáng thạch,3
Trung cấp ngư,6
Trứng trân bảo bảothú,1
Trứng trân thú,963
Tuần La Lệnh,1
Tàn Phẩm,1
Tào Vận Lộ Dẫn,1
Tào Vận Ngân Phiếu,1
Tạp Vật,41
Vật Phẩm Sự Kiện,3
Vật Phẩm sự kiện,2
Vật liệu chế dược,27
Vật liệu công nghệ,36
Vật liệu may mặc,67
Vật liệu đúc khuôn,72
Vật liệu đặc thù,185
Vật liệu đục lỗ,16
Vật phẩm Cạnh Kỹ Trường,6
Vật phẩm chiến trường,11
Vật phẩm hiếm,4
Vật phẩm hiếm có,36
Vật phẩm hoạt động,3
Vật phẩm sự kiện,22
Vật phẩm xuất sư,1
Vật phẩm đặc biệt,5
Vật phẩm đặc thù,28
Xa xỉ phẩm,2
Yên Hoa,4
Yếu quyết giang hồ,2
Yếu quyết môn phái,68
Yếu quyết thất truyền,32
Điêu văn đồ tường,31
Đạo cụ Bày Bán,5
Đạo cụ Sinh Tiêu Lôi Đài,2
Đạo cụ Thần Khí,28
Đạo cụ hoạt động,1
Đạo cụ nhiệm vụ,159
Đạo cụ đặc thù,1176
Đả Tạo Đồ,80
Đồ dùng Trân thú,29
