ID,Name,Icon,TypeDesc,TargetType,ItemLevel,RequireLevel,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ProgressTime,ProgressTick,MaxUsageTimesPerDay
30101001,Bánh bao,Food_1,Thực phẩm,Self,1,1,54,1,true,true,false,5000,-1,-1,,10000,1000,
30101002,Cơm chiên Dương Châu,Food_2,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101003,Bánh Ngọc Mễ,Food_3,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101004,Bánh Thiên Tầng,Food2_4,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101005,Khảo Địa Qua,Food_4,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101006,Hoành Thánh,Food_5,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101007,Dầu Điều,Food_14,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101008,Xuân Quyển,Food_15,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101009,Ma Hoa,Food_16,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101010,Nguyên Tiêu,Food2_1,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101011,Thủy Tinh Hoàn Tử,Food2_2,Thực phẩm,Self,11,60,2091,100,true,true,false,5000,-1,-1,,10000,1000,
30101012,Bánh Tiêm,Food2_3,Thực phẩm,Self,12,60,2388,100,true,true,false,5000,-1,-1,,10000,1000,
30101013,Bao Tử,Food_6,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101014,Bì Đản Chúc,Food2_5,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101015,Bát Bảo Chúc,Food2_6,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101016,Lạp Bát Chúc,Food_7,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101017,Giao Tử,Food_8,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101018,Qua Kiểu Mỹ Tiên,Food_9,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101019,La Diện,Food_9,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
