Symbol,Description,IncludeSign
magic_undefined,Chưa định nghĩa,true
magic_maxhp,Huyết: <color=#FFFF00>{0}</color>,true
magic_maxhp_p,Huyết: <color=#FFFF00>{0}%</color>,true
magic_maxmp,Khí: <color=#FFFF00>{0}</color>,true
magic_maxmp_p,Khí: <color=#FFFF00>{0}%</color>,true
magic_iceatk,Băng công: <color=#FFFF00>{0}</color>,true
magic_iceres,Kháng băng: <color=#FFFF00>{0}</color>,true
magic_iceneg,Bỏ qua kháng băng: <color=#FFFF00>{0}</color>,true
magic_icebreak,Giảm kháng băng đến âm: <color=#FFFF00>{0}</color>,true
magic_fireatk,Hỏa công: <color=#FFFF00>{0}</color>,true
magic_fireres,Kháng hỏa: <color=#FFFF00>{0}</color>,true
magic_fireneg,Bỏ qua kháng hỏa: <color=#FFFF00>{0}</color>,true
magic_firebreak,Giảm kháng hỏa đến âm: <color=#FFFF00>{0}</color>,true
magic_lightatk,Huyền công: <color=#FFFF00>{0}</color>,true
magic_lightres,Kháng huyền: <color=#FFFF00>{0}</color>,true
magic_lightneg,Bỏ qua kháng huyền: <color=#FFFF00>{0}</color>,true
magic_lightbreak,Giảm kháng huyền đến âm: <color=#FFFF00>{0}</color>,true
magic_poisonatk,Độc công: <color=#FFFF00>{0}</color>,true
magic_poisonres,Kháng độc: <color=#FFFF00>{0}</color>,true
magic_poisonneg,Bỏ qua kháng độc: <color=#FFFF00>{0}</color>,true
magic_poisonbreak,Giảm kháng độc đến âm: <color=#FFFF00>{0}</color>,true
magic_physatk,Ngoại công: <color=#FFFF00>{0}</color>,true
magic_physatkbase,Ngoại công cơ bản: <color=#FFFF00>{0}</color>,true
magic_physatk_p,Ngoại công: <color=#FFFF00>{0}%</color>,true
magic_physdef,Ngoại thủ: <color=#FFFF00>{0}</color>,true
magic_physdefbase,Ngoại thủ cơ bản: <color=#FFFF00>{0}</color>,true
magic_physdef_p,Ngoại thủ: <color=#FFFF00>{0}%</color>,true
magic_magicatk,Nội công: <color=#FFFF00>{0}</color>,true
magic_magicatkbase,Nội công cơ bản: <color=#FFFF00>{0}</color>,true
magic_magicatk_p,Nội công: <color=#FFFF00>{0}%</color>,true
magic_magicdef,Nội thủ: <color=#FFFF00>{0}</color>,true
magic_magicdefbase,Nội thủ cơ bản: <color=#FFFF00>{0}</color>,true
magic_magicdef_p,Nội thủ: <color=#FFFF00>{0}%</color>,true
magic_hit,Chính xác: <color=#FFFF00>{0}</color>,true
magic_hitbase,Chính xác cơ bản: <color=#FFFF00>{0}</color>,true
magic_dodge,Né tránh: <color=#FFFF00>{0}</color>,true
magic_dodgebase,Né tránh cơ bản: <color=#FFFF00>{0}</color>,true
magic_critatk,Hội công: <color=#FFFF00>{0}</color>,true
magic_critdef,Hội thủ: <color=#FFFF00>{0}</color>,true
magic_strength,Cường lực: <color=#FFFF00>{0}</color>,true
magic_energy,Nội lực: <color=#FFFF00>{0}</color>,true
magic_stamina,Thể lực: <color=#FFFF00>{0}</color>,true
magic_intelligence,Trí lực: <color=#FFFF00>{0}</color>,true
magic_dexterity,Thân pháp: <color=#FFFF00>{0}</color>,true
magic_allattributes,Tất cả thuộc tính: <color=#FFFF00>{0}</color>,true
magic_strikethroughatk,Xuyên thích: <color=#FFFF00>{0}</color>,true
magic_strikethroughdef,Phòng thủ xuyên thích: <color=#FFFF00>{0}</color>,true
magic_movespeed,Tốc độ di chuyển: <color=#FFFF00>{0}</color>,false
magic_movespeed_p,Tốc độ di chuyển: <color=#FFFF00>{0}%</color>,false
magic_reflect_damage_p,Phản đòn sát thương: <color=#FFFF00>{0}%</color>,false
magic_rage_recovery_p,Tốc độ phục hồi nộ khí: <color=#FFFF00>{0}%</color>,false
magic_weapon_damage_p,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_2,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_3,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_4,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_5,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_6,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_7,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_8,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_9,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_weapon_damage_p_10,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false
magic_damage_p,Tăng sát thương: <color=#FFFF00>{0}%</color>,false
magic_directdamage,Sát thương trực tiếp: <color=#FFFF00>{0}</color>,false
magic_damage_reduce_p,Giảm sát thương phải chịu: <color=#FFFF00>{0}%</color>,false
magic_replenish_hp,Hồi phục huyết: <color=#FFFF00>{0} điểm</color>,false
magic_replenish_hp_p,Hồi phục huyết: <color=#FFFF00>{0}%</color>,false
magic_replenish_mp,Hồi phục khí: <color=#FFFF00>{0} điểm</color>,false
magic_replenish_mp_p,Hồi phục khí: <color=#FFFF00>{0}%</color>,false
magic_replenish_rage,Hồi phục nộ khí: <color=#FFFF00>{0} điểm</color>,false
magic_replenish_rage_p,Hồi phục nộ khí: <color=#FFFF00>{0}%</color>,false
magic_faction_damage_p,Tăng sát thương cho kỹ năng gây ra bởi phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false
magic_icedamage,Băng công: <color=#FFFF00>{0}</color>,false
magic_firedamage,Hỏa công: <color=#FFFF00>{0}</color>,false
magic_lightdamage,Huyền công: <color=#FFFF00>{0}</color>,false
magic_poisondamage,Độc công: <color=#FFFF00>{0}</color>,false
magic_physdamage,Ngoại công: <color=#FFFF00>{0}</color>,false
magic_magicdamage,Nội công: <color=#FFFF00>{0}</color>,false
magic_hpleak,Mất máu liên tục: <color=#FFFF00>{0} điểm</color> mỗi giây,false
magic_replenish_strike,Phục hồi liên kích: <color=#FFFF00>{0} điểm</color>,false
magic_directdamage_strike,Sát thương trực tiếp: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_icedamage_strike,Băng công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Băng công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Băng công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_firedamage_strike,Hỏa công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Hỏa công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Hỏa công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_lightdamage_strike,Huyền công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Huyền công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Huyền công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_poisondamage_strike,Độc công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Độc công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Độc công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_physdamage_strike,Ngoại công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Ngoại công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Ngoại công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_magicdamage_strike,Nội công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Nội công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Nội công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false
magic_mana_shield,Sát thương chuyển sang khí: <color=#FFFF00>{0}%</color>,false
magic_faction_damage_taken_p,Tăng sát thương phải chịu bởi kỹ năng phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false
magic_dynamic_shield,Tạo khiên đỡ sát thương: <color=#FFFF00>{0} điểm</color>,false
magic_hpsteal,Hút máu: <color=#FFFF00>{0} điểm</color>,false
magic_mpsteal,Hút khí: <color=#FFFF00>{0} điểm</color>,false
magic_ragesteal,Hút nộ khí: <color=#FFFF00>{0} điểm</color>,false
magic_damage_taken_amplify_p,Tăng sát thương phải chịu: <color=#FFFF00>{0}%</color>,true
magic_maxrage,Nộ khí: <color=#FFFF00>{0}</color>,true
magic_maxrage_p,Nộ khí: <color=#FFFF00>{0}%</color>,true
magic_icedamage_amplify_p,Tăng sát thương Băng công: <color=#FFFF00>{0}%</color>,true
magic_firedamage_amplify_p,Tăng sát thương Hỏa công: <color=#FFFF00>{0}%</color>,true
magic_lightdamage_amplify_p,Tăng sát thương Huyền công: <color=#FFFF00>{0}%</color>,true
magic_poisondamage_amplify_p,Tăng sát thương Độc công: <color=#FFFF00>{0}%</color>,true
magic_icedamage_taken_p,Sát thương Băng công phải chịu: <color=#FFFF00>{0}%</color>,true
magic_firedamage_taken_p,Sát thương Hỏa công phải chịu: <color=#FFFF00>{0}%</color>,true
magic_lightdamage_taken_p,Sát thương Huyền công phải chịu: <color=#FFFF00>{0}%</color>,true
magic_poisondamage_taken_p,Sát thương Độc công phải chịu: <color=#FFFF00>{0}%</color>,true
magic_damage_to_hp_p,Hấp thu <color=#FFFF00>{0}%</color> sát thương gây lên kẻ địch chuyển thành máu của bản thân,false
magic_damage_to_mp_p,Hấp thu <color=#FFFF00>{0}%</color> sát thương gây lên kẻ địch chuyển thành khí của bản thân,false
magic_damage_break_mp_p,Triệt tiêu khí của mục tiêu bằng <color=#FFFF00>{0}%</color> sát thương gây lên,false
magic_damage_break_rage_p,Triệt tiêu nộ khí của mục tiêu bằng <color=#FFFF00>{0}%</color> sát thương gây lên,false
magic_ignore_physdamage_p,Tỷ lệ bỏ qua sát thương ngoại công: <color=#FFFF00>{0}%</color>,true
magic_ignore_magicdamage_p,Tỷ lệ bỏ qua sát thương nội công: <color=#FFFF00>{0}%</color>,true
magic_ignore_icedamage_p,Tỷ lệ bỏ qua sát thương băng công: <color=#FFFF00>{0}%</color>,true
magic_ignore_firedamage_p,Tỷ lệ bỏ qua sát thương hỏa công: <color=#FFFF00>{0}%</color>,true
magic_ignore_lightdamage_p,Tỷ lệ bỏ qua sát thương huyền công: <color=#FFFF00>{0}%</color>,true
magic_ignore_poisondamage_p,Tỷ lệ bỏ qua sát thương độc công: <color=#FFFF00>{0}%</color>,true
magic_all_res,Kháng tất cả: <color=#FFFF00>{0}</color>,true
magic_hit_p,Chính xác: <color=#FFFF00>{0}%</color>,true
