ID,GroupID,Name,ActivatePercent,SkillIDs,ActivateType,ActivateValue,Cooldown
1,1,Kiến Long Tại Điền,"{1,100}",34901,HitTarget,0,0
2,2,Cầm Long Thức,"{1,30}",35201,HitTarget,-1,0
3,3,Khống Hạc Thức,"{1,100}",35601,CritHitTarget,-1,0
4,4,Hoành Tảo Càn Khôn,"{1,100}",36501,EveryPeriod,1000,0
5,5,Khiêu Liêm Thức,"{1,5},{10,27}",38201,HitTarget,-1,0
6,6,Hồi Thiên Thuật,"{1,100}",41101,EveryPeriod,2000,0
7,7,Diệt Kiếm Thức,"{1,30}",41601,HitTarget,-1,0
8,8,Thủy Độn,"{1,100}",44601,HitTarget,0,0
9,9,Hàm Tiếu Bán Bộ Diên,"{1,100}",45401,EveryPeriod,3000,0
10,10,Nhất Nhật Táng Mệnh Tán,"{1,100}",45501,Die,-1,0
11,11,Phá Kiếm Thức,"{1,30}",47601,HitTarget,-1,0
12,12,Di Hoa Tiếp Mộc,"{1,100}",49801,HitTarget,-1,0
13,13,Đại Phong Ca,"{1,30}",53201,HitTarget,-1,0
14,14,Lạc Thần Đồ,"{1,100}",53601,HitTargetByTrap,-1,0
15,15,Bộ Bộ Sinh Hoa,"{1,100}",54501,EveryPeriod,1000,0
16,16,Súc Vân Dục Vũ,"{1,12},{10,32}",77201,BeHit,-1,0
17,17,Tâm Kiếm Giao Dung,"{1,12},{10,32}",77601;77602,HitTarget,-1,0
18,18,Phá Thiên Thức,"{1,100}",78401,EveryPeriod,1500,0
19,19,Hàm Sa Xạ Ảnh,"{1,100}",82001,HitTarget,-1,0
20,20,Thập Phương Câu Diệt,"{1,100}",82301,HitTarget,-1,0
21,21,Chiến Khả Đắc Uy,"{1,100}",91601,StayIdleForPeriod,3000,3000
22,22,Khổ Trú Đoạn,"{1,100}",92101,EveryPeriod,1000,0
23,23,Bách Xuyên Nhập Hải,"{1,100}",92301,CritHitTarget,-1,0
24,24,Bão Hương Chi Đầu,"{1,100}",94201,EveryPeriod,5000,0
25,25,Quảng Lăng Tán,"{1,100}",95001,EveryPeriod,3000,0
26,26,Phi Hoa - Loạn Hồng Thâm Xử,"{1,100}",95301,EveryPeriod,1000,0
27,27,Đãng Thiên Quân,"{1,100}",96001;96002,HitTarget,0,0
28,28,Hòa Quang Đồng Trần - Phục hồi,"{1,100}",96001,EveryPeriod,60000,0
29,29,Hòa Quang Đồng Trần - Khống chế,"{1,50}",97101,AmplifyState,0,0
30,30,Hòa Quang Đồng Trần - Bị khống chế,"{1,50}",97102,TakeState,0,0
31,31,Liên Khống,"{1,100}",96001,AmplifyState,0,0
32,32,Phi Thanh Bất Độ,"{1,25}",96003,AmplifyState,0,0
33,33,Tình Tận Doanh Huyết,"{1,100}",97901,EveryPeriod,500,0
34,34,Câu Hồn - Mệnh,"{1,100}",99703,EveryPeriod,3000,0
40,40,Hỏa Thần Hạ Phàm,"{1,30},{12,52}",32201,HitTarget,-1,0
41,41,Nộ Hỏa Liên Trảm,"{1,100}",33501,HitTarget,-1,0
100,100,Liệt Hỏa Thần Long,"{1,100}",150201,EveryPeriod,2000,0
101,101,Hỏa Thiêu Thiên Xích,"{1,100}",150401,EveryPeriod,2000,0
102,102,Hỏa Thiêu Thiên Xích,"{1,100}",10006,EveryPeriod,2000,0
103,103,Lục Ba Hương Lộ,"{1,100}",1101100,HitTarget,0,0
104,104,Lục Ba Hương Lộ,"{1,100}",1201100,HitTarget,0,0
105,105,Sát Khí Ôn Dịch,"{1,100}",1301801,EveryPeriod,2000,0
17002,17002,Thú Chi Tù Lưỡng,"{1,100}",1700201,EveryPeriod,1000,0
17003,17003,Mãn Thiên Băng Tuyết,"{1,100}",1700301,EveryPeriod,2000,0
17006,17006,Phóng Thiên Phạt,"{1,100}",1700601,EveryPeriod,1000,0
1000,1000,Phấn Lực Nhất Kích (Cấp 1),"{1,20}",200001;200002;200003,HitTarget,-1,0
1001,1001,Phấn Lực Nhất Kích (Cấp 2),"{1,20}",200101;200102;200103,HitTarget,-1,0
1002,1002,Phấn Lực Nhất Kích (Cấp 3),"{1,20}",200201;200202;200203,HitTarget,-1,0
1003,1003,Phấn Lực Nhất Kích (Cấp 4),"{1,20}",200301;200302;200303,HitTarget,-1,0
1004,1004,Phấn Lực Nhất Kích (Cấp 5),"{1,20}",200401;200402;200403,HitTarget,-1,0
1005,1005,Phấn Lực Nhất Kích (Cấp 6),"{1,20}",200501;200502;200503,HitTarget,-1,0
1006,1006,Phấn Lực Nhất Kích (Cấp 1),"{1,20}",200601;200602;200603,HitTarget,-1,0
1007,1007,Phấn Lực Nhất Kích (Cấp 2),"{1,20}",200701;200702;200703,HitTarget,-1,0
