ID,Name,Series,BookIDs,InitQuickSkills,F1Skills,BlinkSkill,LeapActions
0,Thiếu Lâm,3,"1,2,3,4,5,6",0_281;1_291;2_295;100_281;101_291;102_295,281,-1,411;412;413
1,Minh Giáo,2,"7,8,9,10,11,12",0_311;1_321;2_325;100_311;101_321;102_325,311,-1,408;409;410
2,Cái Bang,"4,2","13,14,15,16,17,18",0_341;1_351;2_355;100_341;101_351;102_355,341,-1,411;412;413
3,Võ Đang,"3,1","19,20,21,22,23,24",0_371;1_381;2_385;100_371;101_381;102_385,371,379,414;415;416
4,Nga My,"1,3","25,26,27,28,29,30",0_401;1_411;2_415;100_401;101_411;102_415,401,-1,417;418;419
5,Tinh Túc,4,"31,32,33,34,35,36",0_431;1_441;2_445;100_431;101_441;102_445,431,-1,420;421;422
6,Thiên Long,"1,2,3,4","37,38,39,40,41,42",0_461;1_471;2_475;100_461;101_471;102_475,461,-1,423;424;425
7,Thiên Sơn,1,"43,44,45,46,47,48",0_491;1_501;2_505;100_491;101_501;102_505,491,503,426;427;428
8,Tiêu Dao,"2,4","49,50,51,52,53,54",0_521;1_522;2_535;100_521;101_522;102_535,521,524,426;427;428
9,Tân thủ,,,,0,-1,168;169;170
10,Mộ Dung,3,"64,65,66,67,68,69",0_760;1_771;2_775;100_760;101_771;102_775,760,-1,408;409;410
11,Đường Môn,"3,4","81,82,83,84,85,86",0_800;1_811;2_815;100_800;101_811;102_815,800,804,408;409;410
12,Quỷ Cốc,"3,2","89,90,91,92,93,94",0_830;1_841;2_845;100_830;101_841;102_845,830,852,411;412;413
13,Đào Hoa,"4,1","97,98,99,100,101,102",0_900;1_911;2_915;100_900;101_911;102_915,900,908,411;412;413
14,Tuyệt Tình,"2,3","113,114,115,116,117,118",0_960;100_960,960,961,411;412;413
15,Ác Nhân Cốc,"1,4","121,122,123,124,125,126",0_990;1_1001;2_1005;100_990;101_1001;102_1005,990,994,408;409;410
100,Mạn Đà,"3,4","105,106,107,108,109,110",0_930;1_941;2_945;100_930;101_941;102_945,930,934,426;427;428
