ID,Name,Type,Style,FactionID,BookID,RequireLevel,RequireWeapon,IsDamageSkill,TargetType,CastRange,AttackRadius,ProgressTime,CooldownGroup,Property,Tag
0,Tấn công,Active,MeleeSingleTarget,-1,-1,1,false,true,Enemy,3,0,0,0,empty,
1,Tấn công Pet,Active,MeleeSingleTarget,-1,-1,1,false,true,Enemy,20,0,0,0,empty,
2,Đại Lý Hồi Thành Phù,Active,SingleTargetBuff,-1,-1,1,false,false,Self,0,0,10000,100,newbie_dali_portal,NO_RESET
3,Bảo Hộ,Active,SingleTargetBuff,-1,-1,1,false,false,Self,0,0,10000,-1,protection,
4,Lạc Mã Tiễn,Active,MeleeSingleTarget,-1,-1,1,false,false,EnemyPlayer,20,0,0,40000,luomajian,NO_RESET
5,Xuyên Vân Tiễn,Active,MeleeSingleTarget,-1,-1,1,false,false,EnemyPlayer,20,0,0,40000,chuanyunjian,NO_RESET
6,Lôi đài tỷ võ - Khán giả,Active,SingleTargetBuff,-1,-1,1,false,false,Self,0,0,0,-1,challenge_watcher,
7,Cương Thể,Active,SingleTargetBuff,-1,-1,1,false,false,Self,0,0,0,-1,boss_immune_all_state,
8,Hứa Nguyện Chúc Phúc,Active,SingleTargetBuff,-1,-1,1,false,false,Self,0,0,-1,-1,wisdom_tree_blessing,
9,Cường Thể,Active,SingleTargetBuff,-1,-1,1,false,false,Self,0,0,0,-1,boss_immune_all_state_1,
10,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_physical,NO_RESET
11,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_magical,NO_RESET
12,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_ice,NO_RESET
13,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_fire,NO_RESET
14,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_light,NO_RESET
15,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_poison,NO_RESET
16,Ném ám khí,Active,RangedSingleTarget,-1,-1,40,true,true,Enemy,20,0,0,1,dart_throw_direct,NO_RESET
20,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_weakness_damage,NO_RESET
21,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_weakness_defense,NO_RESET
22,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_slow,NO_RESET
23,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_immobile,NO_RESET
24,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_silence,NO_RESET
25,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_blind,NO_RESET
26,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_incapacitate,NO_RESET
27,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_paralyse,NO_RESET
28,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_encircle,NO_RESET
29,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_sleep,NO_RESET
30,Ám khí đả huyệt,Active,RangedSingleTarget,-2,-1,70,true,false,Enemy,20,0,0,2,dart_control_hpleak,NO_RESET
40,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_strength,NO_RESET
41,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_energy,NO_RESET
42,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_stamina,NO_RESET
43,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_intelligence,NO_RESET
44,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_dexterity,NO_RESET
45,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_hp_p,NO_RESET
46,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_mp_p,NO_RESET
47,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_physatk_p,NO_RESET
48,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_magicatk_p,NO_RESET
49,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_physdef_p,NO_RESET
50,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_magicdef_p,NO_RESET
51,Ám khí hộ thể,Active,SingleTargetBuff,-3,-1,90,false,false,Self,0,0,0,3,dart_support_replenish,NO_RESET
101,Ngự Thể Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_armor_defense_lv1,NO_RESET
102,Ngự Thể Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_armor_defense_lv2,NO_RESET
103,Ngự Thể Chi Hồn (Cấp 3),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_armor_defense_lv3,NO_RESET
104,Ngự Thể Chi Hồn (Cấp 4),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_armor_defense_lv4,NO_RESET
105,Ngự Thể Chi Hồn (Cấp 5),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_armor_defense_lv5,NO_RESET
106,Võ Dũng Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_spear_lv1,NO_RESET
107,Võ Dũng Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_spear_lv2,NO_RESET
108,Võ Dũng Chi Hồn (Cấp 3),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_spear_lv3,NO_RESET
109,Võ Dũng Chi Hồn (Cấp 4),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_spear_lv4,NO_RESET
110,Võ Dũng Chi Hồn (Cấp 5),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_spear_lv5,NO_RESET
111,Hàn Phong Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_sword_lv1,NO_RESET
112,Hàn Phong Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_sword_lv2,NO_RESET
113,Hàn Phong Chi Hồn (Cấp 3),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_sword_lv3,NO_RESET
114,Hàn Phong Chi Hồn (Cấp 4),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_sword_lv4,NO_RESET
115,Hàn Phong Chi Hồn (Cấp 5),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_sword_lv5,NO_RESET
116,Thanh Dật Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_fan_circle_lv1,NO_RESET
117,Thanh Dật Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_fan_circle_lv2,NO_RESET
118,Thanh Dật Chi Hồn (Cấp 3),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_fan_circle_lv3,NO_RESET
119,Thanh Dật Chi Hồn (Cấp 4),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_fan_circle_lv4,NO_RESET
120,Thanh Dật Chi Hồn (Cấp 5),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_fan_circle_lv5,NO_RESET
121,Ưng Chuẩn Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_crossbow_lv1,NO_RESET
122,Ưng Chuẩn Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_crossbow_lv2,NO_RESET
123,Ưng Chuẩn Chi Hồn (Cấp 3),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_crossbow_lv3,NO_RESET
124,Ưng Chuẩn Chi Hồn (Cấp 4),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_crossbow_lv4,NO_RESET
125,Ưng Chuẩn Chi Hồn (Cấp 5),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_crossbow_lv5,NO_RESET
126,Ẩn Dật Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_staff_lv1,NO_RESET
127,Ẩn Dật Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_staff_lv2,NO_RESET
128,Ẩn Dật Chi Hồn (Cấp 3),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_staff_lv3,NO_RESET
129,Ẩn Dật Chi Hồn (Cấp 4),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_staff_lv4,NO_RESET
130,Ẩn Dật Chi Hồn (Cấp 5),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_staff_lv5,NO_RESET
131,Thanh Dã Chi Hồn (Cấp 1),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_flute_lv1,NO_RESET
132,Thanh Dã Chi Hồn (Cấp 2),Passive,None,-4,-1,30,false,false,Self,0,0,0,4,soul_first_skill_weapon_flute_lv2,NO_RESET
