ID,Name,FactionID,Type,TargetType,RequireLevel,CastRange,Property
0,Tấn công,-1,Active,Enemy,1,3,empty
1,Tấn công Pet,-1,Active,Enemy,1,20,empty
2,Đại Lý Hồi Thành Phù,-1,Active,Self,1,0,newbie_dali_portal
3,Bảo Hộ,-1,Active,Self,1,0,protection
4,Lạc Mã Tiễn,-1,Active,EnemyPlayer,1,20,luomajian
5,Xuyên Vân Tiễn,-1,Active,EnemyPlayer,1,20,chuanyunjian
6,Lôi đài tỷ võ - Khán giả,-1,Active,Self,1,0,challenge_watcher
7,Cương Thể,-1,Active,Self,1,0,boss_immune_all_state
8,Hứa Nguyện Chúc Phúc,-1,Active,Self,1,0,wisdom_tree_blessing
9,Cường Thể,-1,Active,Self,1,0,boss_immune_all_state_1
10,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_physical
11,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_magical
12,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_ice
13,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_fire
14,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_light
15,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_poison
16,Ném ám khí,-1,Active,Enemy,40,20,dart_throw_direct
20,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_weakness_damage
21,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_weakness_defense
22,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_slow
23,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_immobile
24,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_silence
25,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_blind
26,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_incapacitate
27,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_paralyse
28,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_encircle
29,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_sleep
30,Ám khí đả huyệt,-2,Active,Enemy,70,20,dart_control_hpleak
40,Ám khí hộ thể,-3,Active,Self,90,0,dart_support_strength
