ID,Name,FactionID,Type,TargetType,RequireLevel,CastRange,Property
685,Cao Trùng sinh,-1,PetActive,Self,-1,-1,pet_gaojizhongsheng
686,Cộng sinh,-1,PetActive,Self,-1,-1,pet_gongsheng
687,Cao Cộng sinh,-1,PetActive,Self,-1,-1,pet_gaojigongsheng
688,Trị liệu,-1,PetActive,Self,-1,-1,pet_zhiliao
689,Cao Trị Liệu,-1,PetActive,Self,-1,-1,pet_gaojizhiliao
690,Nhục tường,-1,PetActive,Self,-1,-1,pet_ruqiang
691,Cao Nhục Tường,-1,PetActive,Self,-1,-1,pet_gaojiruqiang
692,Thần hựu,-1,PetActive,Owner,-1,-1,pet_shenyou
693,Cao Thần hựu,-1,PetActive,Owner,-1,-1,pet_gaojishenyou
694,Thị huyết,-1,PetActive,Self,-1,-1,pet_shixue
695,Cao Thị huyết,-1,PetActive,Self,-1,-1,pet_gaojishixue
696,Huyết tế,-1,PetActive,Self,-1,-1,pet_xueji
697,Cao Huyết tế,-1,PetActive,Self,-1,-1,pet_gaojixueji
702,Hàn băng chú,-1,Active,Enemy,-1,20,pet_hanbingzhou
703,Liệt hỏa chú,-1,Active,Enemy,-1,20,pet_liehuozhou
704,Huyết độc chú,-1,Active,Enemy,-1,20,pet_xueduzhou
705,Huyền lôi chú,-1,Active,Enemy,-1,20,pet_xuanleizhou
706,Phản kích,-1,Active,Self,-1,-1,pet_fanji
707,Cao Phản kích,-1,Active,Self,-1,-1,pet_gaojifanji
708,Hấp huyết,-1,Active,Self,-1,-1,pet_xixue
709,Cao Hấp Huyết,-1,Active,Self,-1,-1,pet_gaojixixue
710,Phản chấn,-1,Active,Self,-1,-1,pet_fanzhen
711,Cao Phản Chấn,-1,Active,Self,-1,-1,pet_gaojifanzhen
712,Linh động,-1,Active,Self,-1,-1,pet_lingdong
713,Cao Linh Động,-1,Active,Self,-1,-1,pet_gaojilingdong
718,Trung tâm,-1,Active,Self,-1,-1,pet_zhongxin
719,Cao Trung tâm,-1,Active,Self,-1,-1,pet_gaojizhongxin
714,Hấp khí,-1,Active,Self,-1,-1,pet_xiqi
715,Cao Hấp Khí,-1,Active,Self,-1,-1,pet_gaojixiqi
716,Đả nộ,-1,Active,Self,-1,-1,pet_danu
717,Cao Đả Nộ,-1,Active,Self,-1,-1,pet_gaojidanu
720,Nội lực,-1,Active,Self,-1,-1,pet_lingqi
721,Cao Nội Lực,-1,Active,Self,-1,-1,pet_gaojilingqi
724,Thức phá,-1,Active,Self,-1,-1,pet_shipo
725,Cao Thức Phá,-1,Active,Self,-1,-1,pet_gaojishipo
722,Mãnh kích,-1,Active,Enemy,-1,20,pet_mengji
723,Cao Mãnh kích,-1,Active,Enemy,-1,20,pet_gaojimengji
726,Liên kích,-1,Active,Enemy,-1,20,pet_lianji
727,Cao Liên kích,-1,Active,Enemy,-1,20,pet_gaojilianji
728,Thống kích,-1,Active,Enemy,-1,20,pet_tongji
729,Cao Thống kích,-1,Active,Enemy,-1,20,pet_gaojitongji
730,Hư Nhược,-1,Active,Enemy,-1,20,pet_xuruo
731,Cao Hư Nhược,-1,Active,Enemy,-1,20,pet_gaojixuruo
732,Phá Triền,-1,Active,Enemy,-1,20,pet_pozhan
733,Cao Phá Triền,-1,Active,Enemy,-1,20,pet_gaojipozhan
734,Vật ngã,-1,Active,Enemy,-1,20,pet_shuaiban
735,Cao Vật ngã,-1,Active,Enemy,-1,20,pet_gaojishuaiban
736,Giải huyệt,-1,PetActive,Owner,-1,-1,pet_jiexue
737,Thanh tỉnh,-1,PetActive,Owner,-1,-1,pet_qingjing
738,Minh mục,-1,PetActive,Owner,-1,-1,pet_mingmu
739,Kinh linh,-1,PetActive,Owner,-1,-1,pet_jingling
740,Cố nguyên,-1,PetActive,Owner,-1,-1,pet_guyuan
741,Sái thoát,-1,PetActive,Owner,-1,-1,pet_cuituo
1116,Siêu Cấp Tá Lực (Cấp 1),-1,Active,Owner,-1,-1,pet_chaojijieli_yiji
1117,Siêu Cấp Tá Lực (Cấp 2),-1,Active,Owner,-1,-1,pet_chaojijieli_erji
1118,Siêu Cấp Tá Lực (Cấp 3),-1,Active,Owner,-1,-1,pet_chaojijieli_sanji
1119,Siêu Cấp Tá Lực (Cấp 4),-1,Active,Owner,-1,-1,pet_chaojijieli_siji
1120,Siêu Cấp Tá Lực (Cấp 5),-1,Active,Owner,-1,-1,pet_chaojijieli_wuji
1121,Siêu Cấp Tá Lực (Cấp 6),-1,Active,Owner,-1,-1,pet_chaojijieli_liuji
1122,Siêu Cấp Tá Lực (Cấp 7),-1,Active,Owner,-1,-1,pet_chaojijieli_qiji
1123,Siêu Cấp Tá Lực (Cấp 8),-1,Active,Owner,-1,-1,pet_chaojijieli_baji
1124,Siêu Cấp Tá Lực (Cấp 9),-1,Active,Owner,-1,-1,pet_chaojijieli_jiuji
1125,Siêu Cấp Di Hồn (Cấp 1),-1,Active,Owner,-1,-1,pet_chaojiyihun_yiji
1126,Siêu Cấp Di Hồn (Cấp 2),-1,Active,Owner,-1,-1,pet_chaojiyihun_erji
1127,Siêu Cấp Di Hồn (Cấp 3),-1,Active,Owner,-1,-1,pet_chaojiyihun_sanji
1128,Siêu Cấp Di Hồn (Cấp 4),-1,Active,Owner,-1,-1,pet_chaojiyihun_siji
1129,Siêu Cấp Di Hồn (Cấp 5),-1,Active,Owner,-1,-1,pet_chaojiyihun_wuji
1130,Siêu Cấp Di Hồn (Cấp 6),-1,Active,Owner,-1,-1,pet_chaojiyihun_liuji
1131,Siêu Cấp Di Hồn (Cấp 7),-1,Active,Owner,-1,-1,pet_chaojiyihun_qiji
1132,Siêu Cấp Di Hồn (Cấp 8),-1,Active,Owner,-1,-1,pet_chaojiyihun_baji
1133,Siêu Cấp Di Hồn (Cấp 9),-1,Active,Owner,-1,-1,pet_chaojiyihun_jiuji
1134,Siêu Cấp Thuấn Ảnh (Cấp 1),-1,Active,Owner,-1,-1,pet_chaojishunying_yiji
1135,Siêu Cấp Thuấn Ảnh (Cấp 2),-1,Active,Owner,-1,-1,pet_chaojishunying_erji
1136,Siêu Cấp Thuấn Ảnh (Cấp 3),-1,Active,Owner,-1,-1,pet_chaojishunying_sanji
1137,Siêu Cấp Thuấn Ảnh (Cấp 4),-1,Active,Owner,-1,-1,pet_chaojishunying_siji
1138,Siêu Cấp Thuấn Ảnh (Cấp 5),-1,Active,Owner,-1,-1,pet_chaojishunying_wuji
1139,Siêu Cấp Thuấn Ảnh (Cấp 6),-1,Active,Owner,-1,-1,pet_chaojishunying_liuji
1140,Siêu Cấp Thuấn Ảnh (Cấp 7),-1,Active,Owner,-1,-1,pet_chaojishunying_qiji
1141,Siêu Cấp Thuấn Ảnh (Cấp 8),-1,Active,Owner,-1,-1,pet_chaojishunying_baji
1142,Siêu Cấp Thuấn Ảnh (Cấp 9),-1,Active,Owner,-1,-1,pet_chaojishunying_jiuji
1143,Siêu Cấp Cường Thân (Cấp 1),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_yiji
1144,Siêu Cấp Cường Thân (Cấp 2),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_erji
1145,Siêu Cấp Cường Thân (Cấp 3),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_sanji
1146,Siêu Cấp Cường Thân (Cấp 4),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_siji
1147,Siêu Cấp Cường Thân (Cấp 5),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_wuji
1148,Siêu Cấp Cường Thân (Cấp 6),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_liuji
1149,Siêu Cấp Cường Thân (Cấp 7),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_qiji
1150,Siêu Cấp Cường Thân (Cấp 8),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_baji
1151,Siêu Cấp Cường Thân (Cấp 9),-1,Active,Owner,-1,-1,pet_chaojiqiangshen_jiuji
1152,Siêu Cấp Ngưng Thần (Cấp 1),-1,Active,Owner,-1,-1,pet_chaojiningshen_yiji
1153,Siêu Cấp Ngưng Thần (Cấp 2),-1,Active,Owner,-1,-1,pet_chaojiningshen_erji
1154,Siêu Cấp Ngưng Thần (Cấp 3),-1,Active,Owner,-1,-1,pet_chaojiningshen_sanji
1155,Siêu Cấp Ngưng Thần (Cấp 4),-1,Active,Owner,-1,-1,pet_chaojiningshen_siji
1156,Siêu Cấp Ngưng Thần (Cấp 5),-1,Active,Owner,-1,-1,pet_chaojiningshen_wuji
1157,Siêu Cấp Ngưng Thần (Cấp 6),-1,Active,Owner,-1,-1,pet_chaojiningshen_liuji
1158,Siêu Cấp Ngưng Thần (Cấp 7),-1,Active,Owner,-1,-1,pet_chaojiningshen_qiji
1159,Siêu Cấp Ngưng Thần (Cấp 8),-1,Active,Owner,-1,-1,pet_chaojiningshen_baji
1160,Siêu Cấp Ngưng Thần (Cấp 9),-1,Active,Owner,-1,-1,pet_chaojiningshen_jiuji
