ID,Icon,Name,Description,Type,Duration,VisibleForClient,ChildrenJSON
1,Hoatdong_AcBa,Đánh Lén Môn Phái,"Tiêu diệt Ác Bá cùng bè lũ Lâu La, bảo vệ môn phái bị tập kích.",Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""00:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""02:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""04:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""10:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""12:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""16:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""20:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.FactionRaid"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""6""}},{""Tag"":""Map"",""Attributes"":{""ID"":""7""}},{""Tag"":""Map"",""Attributes"":{""ID"":""8""}},{""Tag"":""Map"",""Attributes"":{""ID"":""9""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10""}},{""Tag"":""Map"",""Attributes"":{""ID"":""11""}},{""Tag"":""Map"",""Attributes"":{""ID"":""12""}},{""Tag"":""Map"",""Attributes"":{""ID"":""13""}},{""Tag"":""Map"",""Attributes"":{""ID"":""14""}},{""Tag"":""Map"",""Attributes"":{""ID"":""15""}},{""Tag"":""Map"",""Attributes"":{""ID"":""16""}},{""Tag"":""Map"",""Attributes"":{""ID"":""17""}},{""Tag"":""Map"",""Attributes"":{""ID"":""18""}},{""Tag"":""Map"",""Attributes"":{""ID"":""137""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Ác bá""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308000"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308005"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308006"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308007"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308008"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308009"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308010"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308011"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308012"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308013"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308250"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308251"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308252"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308253"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308100"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308101"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308102"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308103"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308104"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308105"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308106"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308107"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308108"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308109"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308110"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308111"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308112"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308150"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50101001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50101002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50103001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50104002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50111001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113005"",""Bound"":""false""}}]}]"
2,Hoatdong_AcTac,Ác Tặc Tạo Phản,"Tiêu diệt Ác Tặc cùng bè lũ Lâu La, bảo vệ triều tình bị tập kích.",Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""02:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""13:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""15:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""17:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""19:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""21:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.Rebel"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""6""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Ác tặc tạo phản""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20400121"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20500000"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20501000"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20502000"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900009"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900010"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900015"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900035"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900007"",""Bound"":""false""}}]}]"
3,Hoatdong_TranLongKyCuoc,Trân Long Kỳ Cuộc,"Đánh bại 200 quân cờ trắng, đen và sau cùng là Viễn Cổ Kỳ Hồn để chiến thắng Trân Long Kỳ Cuộc.",Everyday,7200000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""11:30""}},{""Tag"":""Time"",""Attributes"":{""Time"":""20:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.BattleChess"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""1"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""77""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""268,268"",""Name"":""Trân Long Kỳ Cuộc""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}}]}]"
4,HoatDong_BienGioiTongLieu,Biên Giới Tống Liêu,Nhiệm Vụ Tô Châu.,Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.SongLiaoBoundary"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""3"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""93""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""137,252"",""Name"":""Tiền Hồng Vũ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40004315"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010958"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010959"",""Bound"":""false""}}]}]"
5,HoatDong_TrucLam,Trúc Lâm,Nhiệm Vụ Tô Châu. Yêu cầu Dư Độc Lệnh Bài,Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.BambooForest"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""3"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""4""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""94"",""Position"":""353,309"",""Name"":""Hoa Kiếm Vũ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40004316"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010958"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010959"",""Bound"":""false""}}]}]"
6,HoatDong_DaNgoaiPhi,Dã Ngoại Phỉ,Nhiệm Vụ Tô Châu. Yêu cầu Thư Của Hoa Kiếm Vũ,Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.ThievesCamp"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""3"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""95""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""137,252"",""Name"":""Tiền Hồng Vũ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30503013"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30503014"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30503015"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010958"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010959"",""Bound"":""false""}}]}]"
7,HoatDong_ThuyLao,Thủy Lao,Tiêu diệt quái nhận phần thưởng hấp dẫn,Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.WaterPrison"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""6"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""92""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""10990,6466"",""Name"":""Hô Diên Báo""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010958"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""40010959"",""Bound"":""false""}}]}]"
8,Hd_TrungAc,Trừng Ác,"Hoàn thành nhiệm vụ, có cơ hội nhận Bảo Tàng Đồ",Everyday,3600000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.EvilFighter"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""30"",""LimitLevel"":""30"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""7170,9150"",""Name"":""Ngô Giới""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30000000"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20309009"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30402087"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30402088"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30402089"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30402090"",""Bound"":""false""}}]}]"
9,Hd_BossKinhHo,Boss Kính Hồ,Tiêu diệt Boss nhận phần thưởng hấp dẫn,Everyday,36000000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""11:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""17:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""23:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":"""",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Boss Kính Hồ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900016"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900010"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900015"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900036"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900007"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50101001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50101002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50103001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50104002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50111001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113005"",""Bound"":""false""}}]}]"
10,Hd_BossXiNga,Boss Xí Nga Vương,Tiêu diệt Boss nhận phần thưởng hấp dẫn,Everyday,36000000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""19:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":"""",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Boss Xí Nga Vương""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900016"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900010"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30900015"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30505114"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30505115"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50101001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50101002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50102004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50103001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50104002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50111001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50112004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113001"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""50113005"",""Bound"":""false""}}]}]"
