ID,Name,TaskType,TaskRule,FactionID,RequireLevel,NextTaskID,CopySceneScriptID,OfferMapID,OfferMapName,OfferNPCID,OfferNPCName,CompleteMapID,CompleteMapName,CompleteNPCID,CompleteNPCName
1000000,Sơ Nhập Giang Hồ,0,0,-1,1,10001,-1,2,Đại Lý,-1,,2,Đại Lý,112,Triệu Thiên Sư
10001001,Vũ Khí Tân Thủ,0,0,-1,2,10002,-1,2,Đại Lý,112,Triệu Thiên Sư,2,Đại Lý,92,Bồ Lương
10002001,Thực Phẩm Cơ Bản,0,0,-1,2,10003,-1,2,Đại Lý,92,Bồ Lương,2,Đại Lý,135,Đỗ Tử Đằng
10003001,Phần thuốc thứ nhất,0,0,-1,3,10004,-1,2,Đại Lý,135,Đỗ Tử Đằng,2,Đại Lý,138,Lô Tam Thất
10004001,Phòng Cụ Tân Thủ,0,0,-1,3,10005,-1,2,Đại Lý,138,Lô Tam Thất,2,Đại Lý,97,Hoàng Công Đạo
10005001,Trang Sức Tân Thủ,0,0,-1,4,10006,-1,2,Đại Lý,97,Hoàng Công Đạo,2,Đại Lý,99,Tiểu Hoa
10006001,Trân Thú Đầu Tiên,0,0,-1,4,10007,-1,2,Đại Lý,99,Tiểu Hoa,2,Đại Lý,141,Vân Phiêu Phiêu
10007001,Bạn Đồng Hành Trung Thành,9,0,-1,5,10008,-1,2,Đại Lý,141,Vân Phiêu Phiêu,2,Đại Lý,141,Vân Phiêu Phiêu
10008001,Quen Biết Bằng Hữu Mới,0,0,-1,5,10009,-1,2,Đại Lý,141,Vân Phiêu Phiêu,2,Đại Lý,131,Tiền Long
10009001,Vô Lượng Trà Thương,0,0,-1,6,10010,-1,2,Đại Lý,131,Tiền Long,19,Vô Lượng Sơn,762,Mã Ngũ Đức
10009002,Kiếm Các Trà Thương,0,0,-1,6,20010,-1,2,Đại Lý,131,Tiền Long,21,Kiếm Các,283,Hắc Thi Thương Nhân
10010001,Cao Sơn Bạch Viên,1,0,-1,6,10011,-1,19,Vô Lượng Sơn,762,Mã Ngũ Đức,19,Vô Lượng Sơn,762,Mã Ngũ Đức
10010002,Thục Đạo Bạch Viên,1,0,-1,6,20011,-1,21,Kiếm Các,283,Hắc Thi Thương Nhân,21,Kiếm Các,283,Hắc Thi Thương Nhân
10011001,Vô Lượng Kiếm Hồ Cung,0,0,-1,7,10012,-1,19,Vô Lượng Sơn,762,Mã Ngũ Đức,19,Vô Lượng Sơn,761,Tả Tử Mục
10011002,Khương Gia Tập Thôn,0,0,-1,7,20012,-1,21,Kiếm Các,283,Hắc Thi Thương Nhân,21,Kiếm Các,286,Khương Quế Chi
10012001,Giải Vây Cho Vô Lượng Kiếm Phái,1,0,-1,7,10013,-1,19,Vô Lượng Sơn,761,Tả Tử Mục,19,Vô Lượng Sơn,760,Tân Song Thanh
10012002,Giải Vây Cho Khương Gia Tập,1,0,-1,7,20013,-1,21,Kiếm Các,286,Khương Quế Chi,21,Kiếm Các,286,Khương Quế Chi
10013001,Vô Lượng Ngọc Bích,4,0,-1,8,10014,-1,19,Vô Lượng Sơn,760,Tân Song Thanh,19,Vô Lượng Sơn,760,Tân Song Thanh
10013002,Kiếm Các Lâu,4,0,-1,8,10014,-1,21,Kiếm Các,286,Khương Quế Chi,21,Kiếm Các,286,Khương Quế Chi
10014001,Võ Lâm Đại Hội Sứ,0,0,-1,8,10015,-1,19,Vô Lượng Sơn,760,Tân Song Thanh,2,Đại Lý,130,Tôn Bát Gia
10014002,Võ Lâm Đại Hội Sứ,0,0,-1,8,10015,-1,21,Kiếm Các,286,Khương Quế Chi,2,Đại Lý,130,Tôn Bát Gia
10015001,Tiếp Dẫn Môn Phái Thiếu Lâm,0,0,-1,9,10016,-1,2,Đại Lý,130,Tôn Bát Gia,2,Đại Lý,118,Tuệ Dịch
10016001,Tiếp Dẫn Môn Phái Minh Giáo,0,0,-1,9,10017,-1,2,Đại Lý,118,Tuệ Dịch,2,Đại Lý,120,Thạch Bảo
10017001,Tiếp Dẫn Môn Phái Cái Bang,0,0,-1,9,10018,-1,2,Đại Lý,120,Thạch Bảo,2,Đại Lý,117,Giản Ninh
10018001,Tiếp Dẫn Môn Phái Võ Đang,0,0,-1,9,10019,-1,2,Đại Lý,117,Giản Ninh,2,Đại Lý,119,Trương Hoạch
10019001,Tiếp Dẫn Môn Phái Nga My,0,0,-1,9,10020,-1,2,Đại Lý,119,Trương Hoạch,2,Đại Lý,116,Lộ Tam Nương
10020001,Tiếp Dẫn Môn Phái Tinh Túc,0,0,-1,9,10021,-1,2,Đại Lý,116,Lộ Tam Nương,2,Đại Lý,122,Hải Phong Tử
10021001,Tiếp Dẫn Môn Phái Thiên Long,0,0,-1,9,10022,-1,2,Đại Lý,122,Hải Phong Tử,2,Đại Lý,123,Phá Tham
10022001,Tiếp Dẫn Môn Phái Thiên Sơn,0,0,-1,9,10023,-1,2,Đại Lý,123,Phá Tham,2,Đại Lý,121,Trình Thanh Sương
10023001,Tiếp Dẫn Môn Phái Tiêu Dao,0,0,-1,9,10024,-1,2,Đại Lý,121,Trình Thanh Sương,2,Đại Lý,124,Đàm Đài Tử Vũ
10024001,Tiếp Dẫn Môn Phái Mộ Dung,0,0,-1,9,10025,-1,2,Đại Lý,124,Đàm Đài Tử Vũ,2,Đại Lý,115,Mộ Dung Truyền
10025001,Tiếp Dẫn Môn Phái Đường Môn,0,0,-1,9,10026,-1,2,Đại Lý,115,Mộ Dung Truyền,2,Đại Lý,862,Đường Dục
10026001,Tiếp Dẫn Môn Phái Quỷ Cốc,0,0,-1,9,10027,-1,2,Đại Lý,862,Đường Dục,2,Đại Lý,864,Dương Tiệm
10027001,Tiếp Dẫn Môn Phái Đào Hoa,0,0,-1,9,10028,-1,2,Đại Lý,864,Dương Tiệm,2,Đại Lý,861,Hoàng Thời Vũ
