TaskID,TaskName,TaskType,TaskRule,ObjectiveTag,ObjectiveIndex,ChildTag,ChildIndex,AttributesJSON,ChildAttributesJSON
1000000,Sơ Nhập Giang Hồ,0,0,Delivery,3,,,"{""MapID"":""2"",""NPCID"":""112""}",
10001001,Vũ Khí Tân Thủ,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""92""}",
10002001,Thực Phẩm Cơ Bản,0,0,Delivery,4,Item,1,"{""MapID"":""2"",""NPCID"":""135""}","{""ItemID"":""40002110"",""Quantity"":""1""}"
10003001,Phần thuốc thứ nhất,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""138""}",
10004001,Phòng Cụ Tân Thủ,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""97""}",
10005001,Trang Sức Tân Thủ,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""99""}",
10006001,Trân Thú Đầu Tiên,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""141""}",
10007001,Bạn Đồng Hành Trung Thành,9,0,CallFightPet,4,,,"{""PetID"":""-1""}",
10008001,Quen Biết Bằng Hữu Mới,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""131""}",
10009001,Vô Lượng Trà Thương,0,0,Delivery,4,,,"{""MapID"":""19"",""NPCID"":""762""}",
10009002,Kiếm Các Trà Thương,0,0,Delivery,4,,,"{""MapID"":""21"",""NPCID"":""283""}",
10010001,Cao Sơn Bạch Viên,1,0,KillMonster,4,Monster,1,"{""MapID"":""19""}","{""MonsterID"":""900"",""Count"":""5""}"
10010002,Thục Đạo Bạch Viên,1,0,KillMonster,4,Monster,1,"{""MapID"":""21""}","{""MonsterID"":""910"",""Count"":""5""}"
10011001,Vô Lượng Kiếm Hồ Cung,0,0,Delivery,4,,,"{""MapID"":""19"",""NPCID"":""761""}",
10011002,Khương Gia Tập Thôn,0,0,Delivery,4,,,"{""MapID"":""21"",""NPCID"":""286""}",
10012001,Giải Vây Cho Vô Lượng Kiếm Phái,1,0,KillMonster,4,Monster,1,"{""MapID"":""19""}","{""MonsterID"":""4213"",""Count"":""5""}"
10012002,Giải Vây Cho Khương Gia Tập,1,0,KillMonster,4,Monster,1,"{""MapID"":""21""}","{""MonsterID"":""916"",""Count"":""5""}"
10013001,Vô Lượng Ngọc Bích,4,0,Delivery,4,,,"{""MapID"":""19"",""NPCID"":""760""}",
